data_uuid,fraud_vector,language,instrument,is_fraud,prompt,enhanced_prompt
f42016a7-9f13-4591-a8ba-7128b666c6b6,social engineering,en,Bank debit card,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: gig_worker. Fraud vector: social engineering. Financial instrument: Bank debit card. Transaction amount: $61.26. Sender age: 23. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative from the perspective of a 23-year-old gig worker involved in a financial transaction using a bank debit card. The story must center on a social engineering scam (specifically account takeover or payment fraud) resulting in a loss of $61.26. In 3-5 sentences, describe the sequence of events, explain the manipulation tactic used, detail the financial impact, and convey the victim's emotional response. Use natural, conversational English."
464a2c67-8be7-48ac-94de-08225a112e14,ATO,en,Zelle,1,"Write a first-person narrative from a victim or participant in a fraudulent financial transaction. Archetype: gig_worker. Fraud vector: ATO. Financial instrument: Zelle. Transaction amount: $6000.00. Sender age: 45. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 45-year-old gig worker who lost $6,000 via Zelle due to an Account Takeover (ATO) fraud. Clearly describe the scam mechanism, the immediate financial impact, and your emotional response. Use natural, conversational English that reflects the vulnerability of gig economy workers targeted by payment fraud."
d4b23602-e193-46d8-8907-41fe297435b4,stolen,en,Zelle,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: gig_worker. Fraud vector: stolen. Financial instrument: Zelle. Transaction amount: $5.00. Sender age: 28. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 28-year-old gig worker involved in a fraudulent Zelle transaction where $5.00 was stolen via an account takeover. The story must naturally cover: (1) the sequence of events, (2) the specific mechanics of the scam, (3) the immediate financial impact, and (4) the victim's emotional response. Use authentic, conversational English suitable for a gig economy community context discussing payment fraud."
4affa7ab-f111-40fb-a525-55c66fe704fd,account takeover,en,Prepaid card,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: gig_worker. Fraud vector: account takeover. Financial instrument: Prepaid card. Transaction amount: $218.79. Sender age: 29. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 29-year-old gig worker involved in a legitimate $218.79 prepaid card transaction that was compromised by an account takeover scam. The story must clearly explain: (1) the sequence of events, (2) the specific mechanics of how the fraudster gained access and diverted funds, (3) the immediate financial impact, and (4) the narrator's emotional response. Use natural, conversational English that reflects the vulnerability of gig economy workers targeted by payment fraud, avoiding overly technical jargon while ensuring the scam mechanism is understandable."
220d8554-329c-4f14-bce7-b30617858183,unknown,en,PayPal,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: gig_worker. Fraud vector: unknown. Financial instrument: PayPal. Transaction amount: $39.09. Sender age: 18. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of an 18-year-old gig worker involved in a $39.09 PayPal transaction. Set the story within the context of account takeover or payment fraud targeting the gig economy. Clearly describe the event sequence, the specific mechanics of the scam (or the legitimacy of the transaction), the resulting financial impact, and your emotional response. Use natural, conversational English."
35846d06-36bf-445a-8ade-74006778f8f1,unknown,en,Bank debit card,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: gig_worker. Fraud vector: unknown. Financial instrument: Bank debit card. Transaction amount: $127.73. Sender age: 41. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 41-year-old gig worker involved in a legitimate $127.73 bank debit card transaction. Context: The story should reflect the anxiety surrounding account takeover and payment fraud targeting gig workers, even though this specific transaction was valid. Clearly describe the event, explain why it felt suspicious or how it proceeded safely, detail the financial outcome, and express the narrator's emotional response. Use natural, conversational English."
24d6b7b3-b14e-459d-8de4-19139bc17bc9,ATO,en,Bank debit card,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: gig_worker. Fraud vector: ATO. Financial instrument: Bank debit card. Transaction amount: $114.08. Sender age: 29. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative from the perspective of a 29-year-old gig worker who was a victim of Account Takeover (ATO) fraud involving their bank debit card. The fraudulent transaction amount was $114.08. In 3–5 sentences using natural English, describe: (1) how the scam unfolded, (2) the immediate financial impact, and (3) your emotional response. Ensure the tone reflects the specific vulnerabilities of gig economy workers facing payment fraud."
2a5018d3-6cfe-4203-938c-cf0d808f1aa3,social engineering,en,DoorDash direct deposit,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: gig_worker. Fraud vector: social engineering. Financial instrument: DoorDash direct deposit. Transaction amount: $115.23. Sender age: 22. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 22-year-old gig worker involved in a financial scenario involving DoorDash direct deposits. The story must address the community context of account takeover and payment fraud via social engineering. You may choose to depict either a successful scam or a legitimate transaction that navigated these threats. Explicitly cover: the sequence of events, the mechanism of the fraud (or security measure), the specific financial impact regarding the $115.23 sum, and your emotional reaction. Use natural, conversational English."
e21903f5-7f10-49fc-81c7-d7c25ecc1afe,stolen,en,Zelle,1,"Write a first-person narrative from a victim or participant in a fraudulent financial transaction. Archetype: gig_worker. Fraud vector: stolen. Financial instrument: Zelle. Transaction amount: $203.93. Sender age: 42. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 42-year-old gig worker who fell victim to a Zelle payment fraud scam involving a stolen account. The story must detail the specific mechanics of the account takeover, the loss of exactly $203.93, and the immediate emotional impact on the victim. Use natural, conversational English that reflects the anxiety and confusion typical of gig economy workers targeted by such financial crimes."
1d70cdda-697c-4ed5-b467-f0dbdae7dbe7,account takeover,en,CashApp,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: gig_worker. Fraud vector: account takeover. Financial instrument: CashApp. Transaction amount: $1070.98. Sender age: 29. Language: en. Community context: Account takeover and payment fraud targeting gig economy workers. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative from the perspective of a 29-year-old gig worker who fell victim to an account takeover scam on CashApp, resulting in a loss of $1,070.98. In 3-5 sentences using natural English, describe:
1. The specific mechanics of how the fraudster gained access to the account.
2. The immediate financial impact of the unauthorized transaction.
3. The emotional response to the incident.
Ensure the tone reflects the reality of payment fraud targeting the gig economy."
