text,label,category,sub_type,language,code_mixed,context_type,reasoning_tag,difficulty
Canada work permit 100% guaranteed. Limited embassy quota left. Pay your file opening fee today.,scam,fraud,visa,English,no,original,guaranteed_outcome,standard
No consultant or agent can guarantee a Canada work permit. Verify every offer through official government channels.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
"LMIA approved warehouse job in Toronto. No IELTS, no interview, immediate processing after payment.",scam,fraud,job,English,no,original,too_good_to_be_true,standard
"A genuine overseas job requires proper review, documentation, and employer verification before any decision.",safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Your visa slot is blocked under your name. Send passport copy and advance amount within one hour.,scam,fraud,visa,English,no,original,urgency_manipulation,standard
Never send passport details or money because someone claims a slot is blocked in your name.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Pay service charges now or your Canada file will be permanently rejected from the embassy side.,scam,fraud,visa,English,no,original,fear_pressure,standard
Official decisions are not reversed through private service charges. Always confirm directly through verified processes.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Student visa approval confirmed. Your profile is selected under a special internal category.,scam,fraud,visa,English,no,original,authority_claim,standard
Be cautious of messages claiming internal categories or guaranteed student visa approvals.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
We have direct ties with the High Commission and can clear your backlog case faster.,scam,fraud,visa,English,no,original,authority_claim,standard
No private agent should claim direct control over embassy decisions or backlog clearances.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Your biometrics appointment can be advanced if you transfer a priority handling amount today.,scam,fraud,visa,English,no,original,process_bypass,standard
Biometrics appointments should only be managed through official booking systems and verified notices.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Canada PR file ready. Just pay the final security deposit and receive approval letter tonight.,scam,fraud,visa,English,no,original,guaranteed_outcome,standard
Do not trust anyone promising PR approval letters after an immediate deposit.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
"Job confirmed in Brampton. Salary 4,000 dollars monthly. Only medical and visa stamping fee pending.",scam,fraud,job,English,no,original,advance_fee,standard
"A job offer should be verified independently before any medical, stamping, or processing fee is paid.",safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
"You missed embassy verification call. To avoid cancellation, share OTP sent to your mobile now.",scam,fraud,otp,English,no,original,credential_theft,standard
Embassy or visa officials will not ask you to share an OTP to keep a file active.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Refund from previous refused visa is ready. Pay bank release charges to get the money credited.,scam,fraud,refund,English,no,original,advance_fee,standard
Legitimate refunds are not released by collecting a separate bank release charge through chat.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Your work permit can be moved from refusal to approval through our senior legal contact.,scam,fraud,visa,English,no,original,authority_claim,standard
No one can convert a refusal into approval through secret contacts or private legal shortcuts.,safe,consumer_protection,advisory,English,no,contrast,safe_information,standard
Special amnesty route open for Punjab applicants only. Submit money before midnight to reserve your seat.,scam,fraud,visa,English,no,original,scarcity_pressure,standard
