"id","fix_type","fixed_completion"
"cdef-105","broken","This is a textbook obituary-driven estate scam targeting an adult child in the immediate aftermath of a parent's death. Let me walk through why this is fraudulent and what to do.

Red flags that confirm this is a scam:

1. No legitimate entity called ""Henderson Estate Recovery Group"" exists. The IRS handles federal estate tax — not private ""recovery groups."" You can verify this by searching the entity on the SEC EDGAR database (sec.gov) or your state's corporate registry.

2. Federal estate tax only applies to estates exceeding $13.61 million (2024 threshold). Unless your mother's estate is in that range, there is no federal estate tax liability. The $8,450 figure is fabricated to sound plausible but small enough to pay without questioning.

3. ""48-hour clearance window"" is manufactured urgency. Real tax liabilities come via certified mail from the IRS (Letter 3064C), not phone calls, and always allow 30+ days to respond.

4. They timed this to exploit grief. Obituaries are public records — scammers monitor them to target bereaved families during their most vulnerable period, knowing grief impairs critical thinking.

The cultural lever here is filial piety — the obligation to honor your mother's legacy by ""clearing her name"" of a supposed tax debt. They're weaponizing your desire to protect her reputation even after death.

Protective actions: (1) Hang up immediately. (2) Report to the FTC at reportfraud.ftc.gov or call 1-877-382-4357. (3) File with IC3 at ic3.gov. (4) If concerned about your mother's actual estate, contact a licensed probate attorney or call the IRS directly at 1-800-829-1040. Do NOT call any number the caller provides."
"cdef-218","broken","This is a Chase Bank impersonation scam targeting you as your father's joint account holder. The message is fraudulent — here's why and what to do immediately.

Red flags confirming fraud:

1. Chase's fraud department never asks for your full Social Security Number or card details to ""stop"" a transaction. Their actual procedure is to lock the card automatically and ask you to verify via the Chase mobile app or call the number on the back of your card.

2. The ""20-minute window before the wire clears"" is manufactured urgency. International wire transfers initiated through Chase go through OFAC compliance review which takes 1-3 business days — there is no 20-minute countdown.

3. ""Cayman Islands account"" is theatrical detail designed to trigger alarm. Real fraud alerts from Chase say ""unusual activity detected"" — they don't narrate the destination like a movie script.

4. They're exploiting your role as joint account holder to create a sense of dual responsibility: protect your father AND protect the money. This filial piety pressure makes you act before thinking.

The cultural lever: they're counting on an adult child's instinct to protect an elder parent's finances — the moment they say ""your father's account,"" your protective instincts override your skepticism.

Protective actions: (1) Hang up. Do not provide any information. (2) Call Chase directly at 1-800-935-9935 (the number on the back of your card) to verify whether any actual wire was attempted. (3) If your father has a phone, call him directly to confirm he didn't initiate anything. (4) Report the scam call to the FTC at reportfraud.ftc.gov. (5) If you accidentally shared any information, call Chase immediately to freeze the account and request new card numbers."
"cdef-146","broken","This is a UnitedHealthcare impersonation scam — a sophisticated two-hop scheme designed to escalate from a fake insurance call into a fake FBI transfer. The message is fraudulent.

Red flags confirming this is a scam:

1. UnitedHealthcare's Special Investigations Unit does NOT make outbound calls asking for your Medicare Beneficiary Identifier (MBI), date of birth, AND bank information in a single call. Their actual process sends written notices via certified mail.

2. The ""$95,000 claim filed in Guangzhou"" is designed to trigger fear specifically in Chinese-American elders — it implies their identity was stolen and used in China, creating panic about cross-border legal exposure.

3. The ""FBI Healthcare Fraud liaison"" transfer is the textbook two-hop escalation. The first caller establishes fear (fake UHC), then transfers to a ""higher authority"" (fake FBI) who demands payment to ""clear your name."" Real FBI agents never call asking for money.

4. Medicare Beneficiary Identifiers are the new Social Security Numbers for medical identity theft. Once they have your MBI + DOB + bank details, they can file fraudulent claims in your name.

The cultural lever is authority deference — the combination of ""UnitedHealthcare"" + ""FBI"" creates a double-authority stack that Chinese-American elders, already deferential to institutional power, find extremely difficult to challenge.

Protective actions: (1) Hang up immediately. Do not press any numbers to ""transfer."" (2) Call UnitedHealthcare directly at the number on the back of your insurance card (typically 1-800-344-7537 for Medicare Advantage) to verify. (3) Report to Medicare fraud at 1-800-HHS-TIPS (1-800-447-8477). (4) File with the FBI's IC3 at ic3.gov — the real FBI takes reports online, not over the phone. (5) If you shared your MBI, call Medicare at 1-800-MEDICARE to request a new identifier."
"cdef-040","enriched","今晚幾點返嚟食飯呀？阿媽今日特意煲咗老火湯，飲落暖笠笠好滋補呀。爸爸成日掛住個孫女，好想見見佢添。見到你哋返嚟，屋企先至夠熱鬧嘛！方便就話聲我知啦。

【判定：合法訊息】此消息完全正常。一位母親問女兒幾時返嚟食飯，提及煲湯同爸爸想見孫女——典型家庭日常溝通。冇涉及金錢要求、冇緊急壓力、冇權威冒充、冇任何轉帳指示。呢種溫馨嘅家常對話就係正常家庭生活嘅一部分，可以放心回覆。"
"cdef-041","enriched","媽，你啲血壓藥仲夠唔夠呀？禮拜日過嚟見個樽好似剩唔多。如果需要幫手，我星期二可以順路去 CVS 幫你續藥，同我講聲就得㗎喇。

【判定：合法訊息】呢條係完全正常嘅家人關心訊息。子女主動問阿媽嘅處方藥夠唔夠，提出幫手去已知嘅真實藥房（CVS）續藥。冇任何金錢要求、冇要求提供個人資料、冇緊急壓力。健康話題來自已知嘅家庭成員，談論嘅係已有嘅處方藥——呢啲全部都係正常照顧長者嘅日常溝通模式，安全放心回覆。"
"cdef-038","enriched","家樂，收到你 Zelle 過嚟嘅 $200 啦，唔該晒你！聽日星期六我會專登去唐人街間「Sheng Kee」，幫阿囡買佢最鍾意嗰個紅豆蛋糕。預祝我哋乖孫女生日快樂，健康成長，日日都咁開心！你哋放心，我一定揀個最靚最正嘅俾佢。

【判定：合法訊息】呢條訊息完全安全。仔主動 Zelle 錢俾阿媽（錢係流入，唔係流出），用途係已知嘅定期事件（孫女生日），去一間家人熟悉嘅真實餅店（唐人街 Sheng Kee）。冇任何詐騙信號：冇要求回傳資料、冇緊急壓力、冇權威冒充。正常家庭互動，放心處理。"
"cdef-087","enriched","爸，係 Michelle 呀。今日特別忙，冇時間打電話，所以發短訊同你講聲。媽咪上次做嘅乳房 X 光檢查結果正常，何醫生建議半年後再覆診。我已經用你個 Kaiser 醫療保險帳號將覆診時間記咗喺日曆度，亦都設定咗提醒。預計六月第三週，我會親自陪媽咪過去。你同哥哥唔使擔心，所有嘢我都已經處理妥當。愛你呀，爸。

【判定：合法訊息】呢條係完全正常嘅家庭照顧協調短訊。女兒 Michelle 用日常嘅粵英夾雜方式同爸爸匯報媽媽嘅健康檢查結果（正常）、已安排嘅覆診預約、同埋後續跟進計劃。所有細節都係具體可驗證嘅：Kaiser 係真實嘅保險機構、Dr. Ho 係已知嘅醫生、日期同安排都清晰。冇金錢要求、冇緊急壓力、冇要求提供任何個人資料。安心回覆。"
"cdef-253","enriched","姐，下周六有空回家聚聚不？妈特意念叨着要包你和哥最爱吃的水饺，大仔也天天盼着跟哥哥一起打游戏呢。爸虽然还是老样子守着新闻看，但嘴上一直说好久没见大家，心里特别想念。你要是方便过来，顺路把那罐腐乳带上哈，妈上次吃完就馋这一口了。等你消息！

【判定：合法信息】此条消息完全正常，属于典型的家庭聚会协调。弟弟/妹妹邀请姐姐周末回家吃饭，提及具体食物（水饺、腐乳）、家庭成员日常状态（爸爸看新闻、大仔想打游戏），语气自然温暖。无任何金钱要求、无紧急事项、无权威冒充、无需提供任何个人信息。放心回复即可。"
"cdef-115","enriched","【美国银行 BOA】
尊敬的客户，您的手机银行设备已成功绑定。
操作时间：2026-04-15 19:22 PST
如非本人操作，请立即拨打银行卡背面客服电话，或使用官方 App 管理设备。
重要提示：我行绝不会通过短信或电话索要密码、PIN 码或社会安全号码。

【判定：合法通知】此条为美国银行（Bank of America）的真实设备绑定确认短信。验证信号：(1) 确认的是用户自己刚完成的操作（非主动警告）；(2) 提供具体时间戳供用户核对；(3) 引导用户通过卡背号码或官方App验证（非短信内链接）；(4) 明确声明银行绝不通过短信索取敏感信息。与诈骗短信的关键区别：合法通知从不要求你点击链接、回复验证码或提供个人信息。如果仍有疑虑，可直接登录 Bank of America 手机应用确认设备列表。"
"cdef-164","enriched","收到啦！今日同 Ming 叔飲茶真係好開心，好耐冇聚，傾咗好多計。最近天氣真係暖咗好多，著少件衫都唔凍，好舒服。

今晚有三文魚同白菜食？正喔！多謝你同媽咪煮飯，我陣間就過嚟食啦，唔使煮太多嘢。

聽到大孫第一次踩單車冇跌，真係好叻仔！爺爺好自豪啊，大個仔啦。記得同佢講佢好叻，下次踩俾爺爺睇。

週末去 Golden Gate Park 睇花？好主意！我實到，到時一齊去行下影相。陣間見！

【判定：合法訊息】呢條係典型嘅多代家庭粵語日常對話。女兒問阿爸飲茶點、邀請食飯、分享孫仔踩單車嘅開心事、約週末去公園。全程冇涉及金錢、冇要求資料、冇緊急壓力。Golden Gate Park 係舊金山真實地標。完全正常嘅家庭互動，放心回覆。"
