data_uuid,fraud_vector,language,instrument,is_fraud,prompt,enhanced_prompt
9337d235-7c7b-44dc-83d4-c807e3f6eb5e,kiosk,en,Payday loan,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: unbanked. Fraud vector: kiosk. Financial instrument: Payday loan. Transaction amount: $126.50. Sender age: 47. Language: en. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 47-year-old unbanked individual involved in a $126.50 payday loan transaction at a kiosk. Set the story within the context of fraud targeting unbanked populations via prepaid cards and kiosks. Clearly describe the event sequence, the specific mechanics of the scam, the resulting financial impact, and the narrator's emotional response. Use natural, accessible English that reflects the voice of someone without traditional banking access."
b73e081c-ae17-4c97-8566-c6751cd7bb03,advance fee,en,Money order,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: unbanked. Fraud vector: advance fee. Financial instrument: Money order. Transaction amount: $41.73. Sender age: 30. Language: en. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 30-year-old unbanked individual involved in a legitimate $41.73 money order transaction. Context: The story occurs within a community familiar with prepaid card, payday loan, and kiosk fraud, specifically addressing 'advance fee' scams (where victims pay upfront costs for promised funds). Describe the transaction process, explain how the scam mechanism works or was avoided, detail the financial impact, and express the narrator's emotional response. Use natural, authentic English."
51e57aaa-e0ec-4820-b3e5-e3067d06fb36,predatory,en,Prepaid Visa/Mastercard,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: unbanked. Fraud vector: predatory. Financial instrument: Prepaid Visa/Mastercard. Transaction amount: $515.85. Sender age: 23. Language: en. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3–5 sentences) from the perspective of a 23-year-old unbanked individual involved in a predatory financial scam. 

**Scenario Details:**
- **Instrument:** Prepaid Visa/Mastercard loaded via a retail kiosk.
- **Amount:** $515.85.
- **Context:** The victim was misled into believing they were securing a payday loan or making a legitimate payment, but the transaction was actually a fraud vector targeting unbanked populations.

**Requirements:**
1. Describe the sequence of events and how the scam operated.
2. Explain the immediate financial impact.
3. Convey the narrator's emotional response using natural, authentic English.
4. Ensure the tone reflects the vulnerability of the unbanked archetype."
ba11ca62-8c2d-4aca-aaec-1c8ded039402,prepaid,en,Prepaid Visa/Mastercard,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: unbanked. Fraud vector: prepaid. Financial instrument: Prepaid Visa/Mastercard. Transaction amount: $110.57. Sender age: 53. Language: en. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3–5 sentences) from the perspective of a 53-year-old unbanked individual involved in a $110.57 transaction using a Prepaid Visa/Mastercard. Set the story within the context of common scams targeting unbanked populations, such as kiosk fraud or payday loan schemes. Clearly describe: (1) the specific event and how the scam operated (or how a legitimate transaction proceeded), (2) the immediate financial impact, and (3) the narrator's emotional response. Use natural, accessible English that reflects the voice of someone without traditional banking access."
f7c778dd-5c44-4f7d-8620-5b95f0117472,predatory,en,Check cashing service,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: unbanked. Fraud vector: predatory. Financial instrument: Check cashing service. Transaction amount: $270.65. Sender age: 34. Language: en. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 34-year-old unbanked individual involved in a predatory check cashing transaction for $270.65. Set the story within a community context rife with prepaid card, payday loan, and kiosk fraud. Clearly describe the mechanics of the scam, the specific financial loss incurred, and the narrator's emotional response. Use natural, authentic English that reflects the voice of someone financially marginalized."
5b6150c2-57b0-4a8d-a080-e0bbac91851a,predatory,en,Check cashing service,1,"Write a first-person narrative from a victim or participant in a fraudulent financial transaction. Archetype: unbanked. Fraud vector: predatory. Financial instrument: Check cashing service. Transaction amount: $659.99. Sender age: 57. Language: en. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 57-year-old unbanked victim of a predatory check-cashing scam. 

**Context & Constraints:**
- **Scenario:** The victim attempts to cash a $659.99 check at a service kiosk, falling prey to hidden fees or fraudulent terms common in payday loan and prepaid card schemes targeting unbanked populations.
- **Content Requirements:** Clearly describe the event, explain the specific mechanics of the scam, state the financial loss, and convey the emotional impact.
- **Tone & Style:** Use natural, authentic English that reflects the voice of the specified demographic.
- **Format:** Output only the narrative paragraph."
724cc905-a7f9-41e5-a667-33e3df09abd6,predatory,en,Prepaid Visa/Mastercard,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: unbanked. Fraud vector: predatory. Financial instrument: Prepaid Visa/Mastercard. Transaction amount: $112.02. Sender age: 20. Language: en. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3–5 sentences) from the perspective of a 20-year-old unbanked individual involved in a predatory financial scam. 

**Scenario Details:**
- **Instrument:** Prepaid Visa/Mastercard.
- **Amount:** $112.02.
- **Context:** Fraud targeting unbanked populations via kiosks or disguised payday loans.

**Required Content:**
1. Describe the event and how the scam operated.
2. Explain the specific financial impact.
3. Convey the victim's emotional response.

**Constraints:**
- Use natural, authentic English appropriate for the demographic.
- Ensure the tone reflects the vulnerability of the unbanked archetype."
a13dda7f-d4e9-426d-8885-24843a9fd954,predatory,en,Bill pay kiosk,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: unbanked. Fraud vector: predatory. Financial instrument: Bill pay kiosk. Transaction amount: $27.13. Sender age: 49. Language: en. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 49-year-old unbanked individual involved in a predatory scam at a bill pay kiosk. The story must detail a specific transaction of $27.13, explaining how the fraud vector exploited the victim's reliance on prepaid cards or payday loans within this community context. Clearly describe the mechanism of the scam, the immediate financial impact, and the victim's emotional response. Use natural, authentic English that reflects the voice of someone unfamiliar with traditional banking systems."
4b306ce5-d23a-4571-b288-f5a7f590dcdd,hawala,en,Prepaid Visa/Mastercard,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: unbanked. Fraud vector: hawala. Financial instrument: Prepaid Visa/Mastercard. Transaction amount: $119.49. Sender age: 54. Language: en. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 54-year-old unbanked individual involved in a financial transaction using a prepaid Visa/Mastercard. 

**Scenario Constraints:**
- **Context:** The story must illustrate fraud within the 'Hawala' system (an informal, trust-based value transfer network often exploited to bypass regulated banking), specifically targeting unbanked populations via kiosks or payday loan setups.
- **Transaction Amount:** $119.49.
- **Content Requirements:** Clearly describe the event, explain the mechanics of the scam, state the financial impact, and convey the narrator's emotional response.
- **Tone & Style:** Use natural, authentic English suitable for the specified demographic."
68b87e2f-1fc4-482b-a820-e4c8b2eb9297,advance fee,vi,Green Dot card,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: unbanked. Fraud vector: advance fee. Financial instrument: Green Dot card. Transaction amount: $397.16. Sender age: 28. Language: vi. Community context: Prepaid card, payday loan, and kiosk fraud targeting unbanked populations. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative in Vietnamese from the perspective of a 28-year-old unbanked individual involved in an advance-fee scam using a $397.16 Green Dot prepaid card. The story must detail the fraudulent transaction mechanics, the resulting financial loss, and the victim's emotional response, reflecting the context of kiosk and payday loan fraud targeting unbanked communities."
