data_uuid,id,archetype,source,narrative_text,detected_language_hints,fraud_vector_hint,record_timestamp,transaction_amount_usd,fee_amount_usd,sender_age,hour_of_day,day_of_week,day_of_week_name,days_since_last_txn,account_age_days,txn_count_30d,fraud_vector,language,instrument,is_fraud
98b8602e-b2b3-48ed-8756-43531a75399f,synth_566e5894a075,itin,tabddpm_synthetic,"I never imagined that the EIN I registered for my small cleaning business would become the backdoor for thieves to drain my life's savings, but last Tuesday, a suspicious transfer of exactly $5,084.77 vanished from my operating account just as I was preparing to file my annual taxes. It appears someone synthesized a new identity using my legitimate ITIN as the anchor, pairing it with a cloned version of my business's EIN to convince the bank that this large withdrawal was a routine vendor payment, a mechanism so seamless that the fraud alert only triggered after the funds were already gone. The financial impact is devastating, leaving me unable to cover payroll or my own tax obligations, but the emotional toll is heavier; I feel a profound, sobering violation knowing that my diligence in building a legal financial footprint was weaponized against me. Now, every time I look at my account balance, I am gripped by a quiet, confiding fear that despite doing everything right, the system sees me as a number easy to mimic and even easier to discard.",['en'],unknown,2024-07-22T07:31:00+00:00,5084.77,200.48,35,7,5,Saturday,4,927,8,unknown,en,EIN business registration,0
ce370515-1d96-430c-9854-09862965da64,synth_0ae276276b14,itin,tabddpm_synthetic,"Ở tuổi 55, tôi chết lặng khi phát hiện mình trở thành nạn nhân của một vụ lừa đảo danh tính tổng hợp tinh vi, nơi kẻ gian đã ghép nối thông tin thật của tôi với dữ liệu giả để ngang nhiên đăng ký doanh nghiệp và xin cấp số EIN chỉ trong vài ngày. Chúng đã sử dụng hồ sơ giả mạo này để nộp các tờ khai thuế gian lận và mở rộng tín dụng, dẫn đến hậu quả nặng nề khiến tôi thiệt hại trực tiếp lên đến 100.000 đô la. Số tiền dành dụm cả đời bỗng chốc bay hơi vì những hồ sơ được tạo ra dưới tên một công ty ma, để lại một gánh nặng pháp lý kéo dài và phức tạp. Cảm giác bất lực xâm chiếm tâm trí tôi khi nhận ra rằng những người nhập cư giữ ITIN như chúng tôi đang trở thành mục tiêu dễ dàng, khiến niềm tin vào hệ thống bảo vệ tài chính hoàn toàn vỡ vụn.",['vi'],EIN,2024-01-05T23:01:00+00:00,100000.0,50000.0,55,23,6,Sunday,15,1,100,EIN,vi,EIN business registration,0
176b5683-345f-4dbd-bb78-42682703e8ed,synth_651b4cfb303b,itin,tabddpm_synthetic,"It started with a routine call from a lender about my credit application for $27,188.93, which quickly spiraled into confusion when they flagged inconsistencies in my ITIN history that I couldn't explain. Someone had meticulously constructed a synthetic identity using my real tax number layered with fabricated employment records and a slightly altered birth date, allowing them to bypass initial verification screens and secure the loan in my name. The financial impact is immediate and devastating; not only was my legitimate application rejected, but I am now staring down a fraudulent debt that could freeze my assets and jeopardize my ability to file taxes or rent a home for years to come. A cold, heavy knot of anxiety has settled in my chest, replacing the hope I felt just hours ago with a sobering realization that my financial existence has been hijacked by a ghost I can't easily exorcise. Every phone call I make now feels like walking through a minefield, knowing that clearing my name will require a marathon of documentation and patience that I'm not sure I'm emotionally prepared to run.",['en'],unknown,2024-03-31T10:28:00+00:00,5018.76,405.99,36,10,4,Friday,2,1289,12,unknown,en,Credit application,0
1f771845-8456-4021-adc7-ac3bd47ba584,synth_3e508f0440fe,itin,tabddpm_synthetic,"At thirty-three, holding an ITIN felt like walking a tightrope, especially when a sudden $3,692.84 charge appeared on my account just as my mortgage application hit the underwriting desk. This wasn't a legitimate fee but a calculated fraud attempt where scammers used a synthetic identity—stitching together my real ITIN with a fabricated name and social security number—to open a fraudulent line of credit and siphon funds. The financial impact was immediate and terrifying; that nearly $3,700 drain threatened to spike my debt-to-income ratio high enough to kill my dream of homeownership before it even began. I felt a cold, sobering dread settle in my chest, realizing how easily predators target our community's vulnerability, turning our hard-earned financial progress into a battlefield where one stolen digit can unravel everything. It is a constant, quiet anxiety that despite following every rule, the system's gaps leave us exposed to those who view our identities not as people, but as puzzles to be solved and exploited.",['en'],ITIN,2024-06-21T23:27:00+00:00,100000.0,50000.0,55,23,6,Sunday,34,1,100,ITIN,en,Mortgage application,1
e49b315c-00b4-4db8-a7be-e508d12ab4f5,synth_daa8a9a9f62e,itin,tabddpm_synthetic,"Tôi năm nay 53 tuổi, và nỗi đau đớn nhất không chỉ là mất đi 3.804,41 đô la tiết kiệm cả đời, mà là cách một kẻ lừa đảo đội lốt tư vấn di trú đã khéo léo dụ tôi trao số ITIN cá nhân, biến nó thành công cụ để chúng xây dựng một danh tính giả mạo hoàn chỉnh. Chúng dùng con số ấy để mở thẻ tín dụng ảo và rút tiền thuế của tôi, một chiêu trò tinh vi đang âm thầm tàn phá niềm tin và tài chính của biết bao gia đình trong cộng đồng người Việt chúng ta. Khi nhận được thông báo từ sở thuế về khoản thu nhập giả mạo mà tôi chưa từng kiếm được, cảm giác tê liệt và xấu hổ dâng trào vì tôi hiểu rằng mình đã vô tình trở thành mắt xích trong một đường dây đánh cắp danh tính quy mô lớn. Sự ngây thơ tin người của tôi giờ đây đổi lấy những đêm mất ngủ triền miên, lo sợ rằng danh dự và tương lai của gia đình tôi đã bị đánh cắp vĩnh viễn cùng với số tiền oan ức đó.",['vi'],ITIN,2024-07-27T17:49:00+00:00,3804.41,239.61,53,17,1,Tuesday,4,1148,7,ITIN,vi,Fake immigration consultancy,0
a84395bb-ac35-4b8e-b53f-37fc82dee4c2,synth_889fbf1158d4,itin,tabddpm_synthetic,"At fifty-four, I sat at my kitchen table signing documents for a $1,200.80 mortgage application, never imagining the paperwork was a key handing over my financial life to criminals who had been quietly building a synthetic identity using my ITIN. I didn't realize they had merged my legitimate tax history with fabricated credit data, using this transaction to trigger a cascade of fraud that drained my account and ruined my credit. The bank froze my assets immediately, leaving me with a financial profile that looked like a stranger's biography and a pile of debt I didn't recognize. Losing the money was painful, but the heavier burden is the sobering fear that settles in my chest whenever I see a financial form, knowing my identity was stolen and I was powerless to stop it.",['en'],unknown,2024-10-12T07:52:00+00:00,1200.8,86.82,54,7,6,Sunday,1,238,11,unknown,en,Mortgage application,0
cc1ec702-7ad0-4766-bcd1-23c17d539c61,synth_57569ef8b0dd,itin,tabddpm_synthetic,"He told me that to secure the mortgage with my ITIN, I had to pay a ""federal verification fee"" of $1,582.36 upfront to clear a non-existent flag on my credit file, a lie so convincing that I handed over my life savings without hesitation. The moment the money left my account, the consultant vanished, leaving me not only without the funds needed for my down payment but also with my personal data compromised for synthetic identity fraud that I am still struggling to untangle. Sitting at my kitchen table surrounded by rejected loan documents, I feel a crushing weight of shame and terror, knowing that my dream of homeownership has been stolen along with the financial security I spent decades building in this country.",['en'],immigration consultant,2024-11-05T10:41:00+00:00,1582.36,48.8,51,10,0,Monday,4,983,11,immigration consultant,en,Mortgage application,0
f094ed16-b00d-4fe7-bd5f-1ae363a049c6,synth_a113993b350f,itin,tabddpm_synthetic,"At forty-five, I stood at the bank counter feeling a familiar knot of anxiety tighten as the manager scrutinized my ITIN alongside the $9,340.16 deposit I had carefully saved. His expression shifted from professional courtesy to cold suspicion as he explained that my account was being flagged because criminals frequently exploit ITINs to build synthetic identities for tax fraud. Though my transaction was legitimate, the bank froze my funds, creating a financial chokehold that threatened my ability to pay essential expenses while investigators untangled a web of deceit I had no part in weaving. It is a sobering reality to realize that thieves have weaponized my tax status so effectively that my honesty now looks like deception, leaving me feeling exposed and powerless. This experience has stripped away my sense of security, replacing it with the quiet fear that I will always be viewed through the lens of someone else's crime.",['en'],ITIN,2024-06-29T23:42:00+00:00,100000.0,50000.0,55,23,0,Monday,90,1,100,ITIN,en,Bank account opening,0
02bee74a-f3e0-4ed0-bbc3-da60fb6c1857,synth_785648c72be8,itin,tabddpm_synthetic,"I entrusted my most sensitive personal documents to a consultancy I believed was legitimate, wiring $2,514.32 under the guise of mandatory fees for a tax-return filing. Within a week, they stopped answering calls, and I discovered they had used my ITIN to construct synthetic identities, leaving my information exposed to criminals I cannot track. The loss of these savings is devastating, but the betrayal cuts deeper, leaving me with a sobering fear that my community is being systematically targeted by predators exploiting our immigration status. Now, every piece of mail brings a cold dread that my name is being used to commit crimes I cannot control, stripping away my sense of safety and financial stability.",['en'],tax return,2024-02-21T10:29:00+00:00,2514.32,44.88,40,10,6,Sunday,1,1687,7,tax return,en,Fake immigration consultancy,0
dcc7c633-7291-434f-af53-58ee3c0f46ae,synth_ae5ab7869a7e,itin,tabddpm_synthetic,"நான் 36 வயது ITIN வைத்திருப்பவராக, $5,294.25 மதிப்புள்ள கடனுக்கு விண்ணப்பித்தபோது, என் அடையாளத்தை திருடி செயற்கை முறையில் உருவாக்கப்பட்ட ஒரு மோசடி நடந்துமுடிந்திருப்பது தெரியவந்து பெரும் அதிர்ச்சியடைந்தேன். என் உண்மையான ITIN விவரத்துடன் போலி பெயர் மற்றும் முகவரிகளை இணைத்து உருவாக்கப்பட்ட செயற்கை அடையாளம், போலி வரி ரிட்டர்ன்கள் மூலம் கடன் தகுதியை உயர்த்தி, கடன் நிறுவனத்தின் கண்காணிப்பை ஏமாற்றியது. இதன் விளைவாக, என் வரித் தொகை முடக்கப்பட்டதோடு, நான் பெறாத கடனுக்கான பொறுப்பும் என் மீது சுமத்தப்பட்டு, என் கடன் மதிப்பெண் முற்றிலுமாக சேதமடைந்தது. என் நம்பிக்கையும் கடின உழைப்பும் இவ்வாறு சூறையாடப்பட்டதை நினைக்கும்போது, என்னைப் பாதுகாக்க வேண்டிய அமைப்பே எனக்கு எதிராக மாறிவிட்டதே என்ற வேதனையும் எதிர்காலத்தின் மீதான ஆழமான பயமும் என்னை ஆட்கொண்டுள்ளது.",['ta'],ITIN,2024-08-02T12:51:00+00:00,5294.25,535.66,36,12,0,Monday,3,688,13,ITIN,ta,Credit application,0
