data_uuid,fraud_vector,language,instrument,is_fraud,prompt,enhanced_prompt
f4758059-495b-468d-b179-775ad9ff6c57,estafa,es,Hawala,1,"Write a first-person narrative from a victim or participant in a fraudulent financial transaction. Archetype: remittance. Fraud vector: estafa. Financial instrument: Hawala. Transaction amount: $10000.00. Sender age: 65. Language: es. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative in Spanish from the perspective of a 65-year-old victim of an 'estafa' (fraud) involving a $10,000 cross-border remittance via the 'Hawala' system (an informal, trust-based value transfer network). Set the context within an immigrant community. In 3-5 natural sentences, describe:
1. The transaction event and how the scam operated.
2. The specific financial impact.
3. The victim's emotional response.
Ensure the tone is authentic and the language reflects the specified demographic."
c268fccb-faa2-47f5-a469-c8cb87906539,bonus,en,Hawala,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: remittance. Fraud vector: bonus. Financial instrument: Hawala. Transaction amount: $142.90. Sender age: 26. Language: en. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative in English from the perspective of a 26-year-old involved in a cross-border Hawala transaction (an informal, trust-based money transfer system common in immigrant communities). The story must center on a specific fraud vector: a deceptive 'bonus' offer attached to a legitimate remittance of $142.90. Clearly describe the sequence of events, explain how the scam exploited the bonus promise, state the financial impact, and convey the narrator's emotional response using natural, authentic language."
93cf904a-f88a-4cb3-bf52-7ff5f92488c6,estafa,yo,Hawala,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: remittance. Fraud vector: estafa. Financial instrument: Hawala. Transaction amount: $509.35. Sender age: 53. Language: yo. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative in Yoruba from the perspective of a 53-year-old victim of an 'Estafa' fraud scheme (a confidence trick involving deception for financial gain) disguised as a legitimate 'Hawala' transaction (an informal, trust-based cross-border money transfer system). The story must center on a loss of $509.35 within the context of scams targeting immigrant communities. Clearly describe the event, the specific mechanics of the deception, the financial impact, and the narrator's emotional response using natural, authentic Yoruba phrasing."
00af5b23-b353-42cf-b98e-5a3f2d28582f,bonus,yo,Cash pickup,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: remittance. Fraud vector: bonus. Financial instrument: Cash pickup. Transaction amount: $769.38. Sender age: 63. Language: yo. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative in Yoruba from the perspective of a 63-year-old victim of a cross-border remittance fraud. The scam involved a fraudulent 'bonus' offer tied to a legitimate $769.38 cash pickup transaction. Clearly describe the deception mechanism, the resulting financial loss, and the victim's emotional distress, using natural and culturally appropriate language."
b4f0a8b4-0b13-4e57-b461-4b263e11f3cd,emergency,en,Wire transfer (bank),0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: remittance. Fraud vector: emergency. Financial instrument: Wire transfer (bank). Transaction amount: $1018.61. Sender age: 25. Language: en. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 25-year-old victim of a cross-border remittance scam targeting immigrant communities. 

**Scenario Details:**
- **Fraud Vector:** An impersonator claiming a family emergency to induce urgency.
- **Transaction:** A legitimate but fraudulent wire transfer of $1,018.61 sent via bank.
- **Language:** English.

**Required Content:**
1. Describe the deceptive interaction and how the scammer exploited the emergency context.
2. Explain the execution of the wire transfer.
3. Detail the immediate financial impact and the narrator's emotional response (e.g., shame, panic, betrayal).

Ensure the tone is natural, authentic, and reflects the vulnerability of the victim."
80977373-0e23-45f0-b23b-d9e7cb9f0453,MoneyGram,en,Remitly,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: remittance. Fraud vector: MoneyGram. Financial instrument: Remitly. Transaction amount: $992.95. Sender age: 59. Language: en. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 59-year-old individual involved in a cross-border remittance transaction. The story must incorporate the following specific details: a transfer amount of $992.95, the use of Remitly as the financial instrument, and MoneyGram as the associated service vector within a context of fraud targeting immigrant communities. Clearly describe the sequence of events, the mechanism of the scam (or the transaction process), the resulting financial impact, and the narrator's emotional response. Use natural, authentic English appropriate for the specified demographic."
5d6ea328-f0f0-4fa7-9f0e-fd39e09d7dfa,fake family,en,Hawala,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: remittance. Fraud vector: fake family. Financial instrument: Hawala. Transaction amount: $727.81. Sender age: 63. Language: en. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3-5 sentences) from the perspective of a 63-year-old victim of a cross-border remittance scam. 

**Scenario Constraints:**
- **Fraud Vector:** 'Fake family' impersonation (scammer posing as a relative in distress).
- **Financial Instrument:** Hawala (an informal, trust-based value transfer system operating outside traditional banking).
- **Transaction Amount:** $727.81.
- **Context:** Targeting immigrant communities.

**Required Content:**
1. Describe the interaction and how the scam unfolded.
2. Explain the mechanism of the Hawala transfer in this context.
3. Detail the financial impact and your emotional response (fear, betrayal, regret).

**Tone:** Natural, authentic English reflecting the voice of an elderly immigrant."
5545f574-09b6-49c7-9e25-e0b58a6ab936,exchange rate,yo,Western Union,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: remittance. Fraud vector: exchange rate. Financial instrument: Western Union. Transaction amount: $10000.00. Sender age: 65. Language: yo. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative in Yoruba from the perspective of a 65-year-old victim of a cross-border remittance scam. The story must detail a fraudulent $10,000 Western Union transaction where the scammer exploited a deceptive exchange rate. Explicitly describe the mechanism of the fraud, the resulting financial loss, and the victim's emotional distress, using natural language appropriate for the specified community context."
4ac76866-30a0-4f87-b7b0-a8274b6189b5,fake family,yo,Western Union,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: remittance. Fraud vector: fake family. Financial instrument: Western Union. Transaction amount: $283.95. Sender age: 34. Language: yo. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative in Yoruba from the perspective of a 34-year-old victim of a 'fake family' remittance scam. The story must involve a fraudulent Western Union transaction of $283.95 within a cross-border context targeting immigrant communities. Explicitly describe the deception method, the financial loss, and the resulting emotional impact using natural, authentic Yoruba phrasing."
3f28e4dd-3cb3-4d82-8f73-177c6ea3a338,unknown,es,Hawala,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: remittance. Fraud vector: unknown. Financial instrument: Hawala. Transaction amount: $10000.00. Sender age: 65. Language: es. Community context: Cross-border money transfer fraud targeting immigrant communities. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative in Spanish from the perspective of a 65-year-old participant in a cross-border money transfer using the Hawala system (an informal, trust-based value transfer network operating outside traditional banking). The story must involve a $10,000 transaction within the context of fraud targeting immigrant communities, where the specific deception method remains unclear to the narrator. In 3-5 sentences, describe the sequence of events, the mechanism of the scam, the resulting financial loss, and the narrator's emotional reaction, ensuring the tone is natural and authentic to the specified demographic."
