data_uuid,id,archetype,source,narrative_text,detected_language_hints,fraud_vector_hint,record_timestamp,transaction_amount_usd,fee_amount_usd,sender_age,hour_of_day,day_of_week,day_of_week_name,days_since_last_txn,account_age_days,txn_count_30d,fraud_vector,language,instrument,is_fraud
d7e33b14-9084-4d74-bf83-7337083fef83,synth_a882be5f242c,gig_worker,tabddpm_synthetic,"I thought I was just cashing out a quick $178.36 for a weekend furniture assembly gig, but that notification on my phone was actually the sound of my account being hollowed out by a stranger who had already hijacked my login credentials. The scammer had likely phished my details days prior, waiting for a legitimate deposit to hit before instantly initiating a fraudulent outgoing transfer to a mule account, leaving me with a zero balance and a pending investigation flag before I even realized my password had changed. When I finally pieced together that the money I needed for rent was gone and that Venmo's peer-to-peer protections wouldn't cover this kind of authorized-push fraud, a cold, heavy dread settled in my chest, replacing the usual post-gig relief. It wasn't just the loss of that specific $178.36; it was the terrifying realization that the digital wallet I relied on for survival had become a vulnerability I couldn't easily seal, leaving me feeling exposed and utterly alone in the silence of my empty bank account.",['en'],unknown,2024-09-28T11:50:00+00:00,178.36,6.04,43,11,0,Monday,0,920,6,unknown,en,Venmo,0
c2ee42e0-ee1f-4db9-a6cf-180fbea90164,synth_15921406cbbb,gig_worker,tabddpm_synthetic,"I had just wrapped up a weekend landscaping gig and felt a surge of relief when my phone buzzed with the notification that $384.51 had landed in my Venmo account from the client, only to watch in horror minutes later as the balance vanished and the transaction history showed a new, unauthorized transfer to a stranger. The scammer must have phished my login credentials earlier that day, waiting for the deposit to clear before executing a swift account takeover to siphon the funds out before I could react or freeze the account. That specific sum represented nearly three days of hard physical labor and the exact amount I needed to cover my rent due on Tuesday, leaving me suddenly exposed and scrambling to explain a shortfall I couldn't afford. The violation feels sickeningly personal, replacing the pride of a job well done with a gnawing anxiety about my financial stability and a deep, sobering realization of how fragile my livelihood really is in the gig economy.",['en'],ATO,2024-12-25T02:04:00+00:00,384.51,8.45,28,2,0,Monday,13,1827,3,ATO,en,Venmo,0
402fa7a1-a102-40b1-babc-f561c4c34b04,synth_d47d65ea0381,gig_worker,tabddpm_synthetic,"It started with a text that looked exactly like a routine gig-platform verification code, but the moment I typed it in, the hacker slid into my account while I was between deliveries. They immediately linked a new prepaid card to my profile and siphoned out $206.34 through a series of micro-transactions that cleared before I even realized my dashboard had been hijacked. Seeing that exact balance vanish felt like a physical blow, leaving me staring at my phone with a hollow knot in my stomach as I calculated how many hours of driving it would take to earn back money I needed for rent. The helplessness was suffocating, knowing that for someone living paycheck to paycheck in this economy, losing even two hundred dollars isn't just an inconvenience—it's a crisis that threatens to unravel everything.",['en'],account takeover,2024-08-21T13:41:00+00:00,206.34,1.5,19,13,1,Tuesday,1,1640,10,account takeover,en,Prepaid card,0
e6bef218-f738-4459-99e8-2c9dadf2d972,synth_0d0a68fff3dc,gig_worker,tabddpm_synthetic,"It started with a text that looked exactly like a standard Zelle notification for $145.81, claiming a client had overpaid for my last delivery and needed me to refund the difference immediately. My heart raced as I saw the pending credit in my app, and without waiting for the bank's standard clearing time, I sent the ""excess"" funds back to what I thought was the customer's account. By morning, the original $145.81 deposit had vanished, reversed as a fraudulent transaction from a compromised account, leaving me out that exact amount plus the refund I had voluntarily wired from my own savings. The sinking feeling in my stomach wasn't just about the nearly three hundred dollars I'd lost in total; it was the horrifying realization that my livelihood depends on a system where trust can be weaponized against me in the blink of an eye. Now, every ping from my phone makes me hesitate, knowing how easily a moment of urgency can strip away the thin financial margin I work so hard to maintain.",['en'],unknown,2024-01-19T10:43:00+00:00,145.81,4.25,40,10,0,Monday,4,1346,4,unknown,en,Zelle,0
6d5c4172-e99d-4edd-94f7-3b28b6418b72,synth_fd2286080373,gig_worker,tabddpm_synthetic,"I was just checking my Uber app to cash out my $380.76 for the week's rent when a phishing text tricked me into handing over my login, and within minutes, my Instant Pay balance was drained to zero by a thief who changed my linked bank account before I could even blink. That specific sum wasn't just extra spending money; it was the exact amount I needed to cover my electricity bill and put food on the table for my kids, leaving me now staring at an empty account with no buffer and no immediate way to recover the funds. The sheer weight of this violation has left me shaking with a cold, sickening panic, oscillating between furious self-blame for falling for the scam and a desperate, hollow fear of how I'm going to explain to my landlord that the money simply vanished into thin air. Every notification on my phone now feels like a threat, and the confusion of navigating Uber's support maze while my essential income is gone has turned my day into a nightmare of helplessness and financial dread.",['en'],stolen,2024-10-22T14:03:00+00:00,380.76,19.37,31,14,2,Wednesday,2,887,13,stolen,en,Uber instant pay,0
8f798b26-f4df-4ca5-be83-136735166a41,synth_38cf0665b029,gig_worker,tabddpm_synthetic,"I was just finishing a late-night food delivery run, my phone buzzing with what I thought was a routine payment request, when I unknowingly clicked a link that drained my Venmo account of exactly $266.09—the entire tip pool I'd been saving for rent. Within seconds, the scammer had hijacked my credentials, rerouted my two-factor authentication codes, and watched as that specific transaction cleared before I could even scream into the void of customer support chat. Standing on that dark street corner, staring at the ""Payment Sent"" notification that wasn't mine, I felt a cold, hollow panic settle in my chest, realizing that the gig economy's promise of instant access to cash also means instant vulnerability to theft. That $266.09 wasn't just numbers on a screen; it was three days of gas, two shifts of sweating through traffic, and now, a devastating lesson in how quickly digital trust can be weaponized against someone trying to get by.",['en'],stolen,2024-04-17T14:43:00+00:00,266.09,10.66,18,14,6,Sunday,11,1188,8,stolen,en,Venmo,0
22a676ff-7fa9-41f3-94d6-265406a46853,synth_3861cd6aa7f8,gig_worker,tabddpm_synthetic,"I was just finishing a late-night delivery run when a text popped up looking exactly like a CashApp security alert, claiming my account was locked unless I verified my identity immediately. Panicked that I wouldn't be able to access my tips for the week, I clicked the link and entered my login details, only to watch in horror as a hacker instantly drained $608.84 from my balance before I could even realize it was a fake site. That money wasn't just numbers on a screen; it was my rent payment and grocery budget for the next two weeks, gone in the blink of an eye because I let my guard down for a second. The sinking feeling in my stomach as I stared at the zero balance was worse than any exhausted shift I've ever worked, leaving me feeling violated and stupid for falling for such a classic trap. Please, don't make my mistake: never click links in unsolicited texts, because once that money leaves your account, getting it back feels almost impossible.",['en'],stolen,2024-08-19T09:16:00+00:00,608.84,20.29,23,9,3,Thursday,2,53,6,stolen,en,CashApp,0
7bb4d41c-8d66-4027-bf0f-c5a19809605e,synth_d84f694e51d1,gig_worker,tabddpm_synthetic,"I was just finishing a long shift delivering food when my phone buzzed with a CashApp notification for $156.45 sent to some stranger I'd never heard of, and my stomach immediately dropped because that was supposed to be my gas money and rent contribution for the week. It turns out I'd clicked a slick-looking text message earlier that day pretending to be a ""security alert,"" which tricked me into handing over my login details before I even realized it was a trap. Now, staring at a zero balance while my actual bills are due tomorrow, I feel a sickening mix of panic and shame, knowing that for someone like me living gig-to-gig, losing even this small amount feels like falling off a cliff with no safety net. The worst part isn't just the stolen money; it's the paralyzing fear that I've been locked out of my only lifeline while the fraudster is probably already spending my hard-earned cash.",['en'],hacked,2024-11-08T05:13:00+00:00,156.45,6.85,42,5,1,Tuesday,5,993,10,hacked,en,CashApp,0
26279f95-9382-4a4a-a6fd-21b791d8f6fb,synth_a56811203956,gig_worker,tabddpm_synthetic,"I was just finishing a late-night food delivery when my phone buzzed with a CashApp notification for $158.86, only to realize seconds later that the ""customer"" had tricked me into reading aloud a six-digit OTP code they claimed was needed to ""verify my business account."" That single code was the key that unlocked my digital wallet, allowing them to instantly drain not just that pending payment but every dollar I had saved for rent, leaving my balance at zero before I could even scream. The sinking feeling in my gut wasn't just about the lost money; it was the terrifying realization that my livelihood could be erased by a moment of trust and a glitch in the system designed to protect me. Now, every time my phone dings, I flinch, haunted by the sobering truth that in the gig economy, we are one intercepted message away from financial ruin.",['en'],OTP,2024-12-16T12:20:00+00:00,158.86,7.13,26,12,0,Monday,10,569,7,OTP,en,CashApp,0
2c7d2b61-09e6-4e67-8c9d-67ccd1a74ca3,synth_dd461123b385,gig_worker,tabddpm_synthetic,"It started when my phone suddenly went dead in the middle of a delivery shift, leaving me stranded without navigation or a way to contact my next client, but the real horror hit when I finally got back online and saw the notification: a $500.87 PayPal transaction I never authorized. The scammers had convinced my carrier to swap my SIM card to their device, effectively stealing my phone number and bypassing the two-factor authentication that was supposed to protect my account. In a matter of minutes, they drained my gig earnings—money I needed for rent and gas—leaving me with a hollowed-out bank account and a sinking feeling of violation that goes far deeper than just the financial loss. Now, every time my signal drops or a verification code doesn't arrive, I'm gripped by a sobering anxiety, knowing how fragile our digital livelihoods really are when a single phone number is all that stands between us and total ruin.",['en'],SIM swap,2024-10-04T10:50:00+00:00,500.87,39.93,33,10,1,Tuesday,90,2000,0,SIM swap,en,PayPal,0
