data_uuid,id,archetype,source,narrative_text,detected_language_hints,fraud_vector_hint,record_timestamp,transaction_amount_usd,fee_amount_usd,sender_age,hour_of_day,day_of_week,day_of_week_name,days_since_last_txn,account_age_days,txn_count_30d,fraud_vector,language,instrument,is_fraud
9e54483f-79fa-48c0-b4eb-cbae223279d0,synth_241c2ccec6ec,unbanked,tabddpm_synthetic,"I stood at the check-cashing counter while the clerk loaded exactly $703.87 onto a prepaid card, carefully verifying the funds with the issuing bank to protect me from the fake-check scams that often trap unbanked folks like myself. She helped me set up a PIN, warning that unlike a bank account, these cards offer zero fraud protection if I were to fall for a phishing call from someone pretending to be the IRS or a utility company. This money is my lifeline for rent and groceries until my Social Security arrives, meaning any loss would force me to choose between eating and keeping a roof over my head. Walking out, I felt a heavy mix of relief that the transaction was safe and a deep, gnawing anxiety about how vulnerable I still am to the predators targeting people like me.",['en'],prepaid,2024-12-29T11:43:00+00:00,703.87,24.09,59,11,0,Monday,2,80,8,prepaid,en,Check cashing service,0
2c672027-229e-44a4-9982-c9481a2927a4,synth_8248877a5f6d,unbanked,tabddpm_synthetic,"I stood in the fluorescent glare of the corner store, my hands shaking as I fed twenty-dollar bills into the red prepaid card kiosk, convinced that loading exactly $699.23 onto this Visa was the only way to unlock the ""guaranteed"" loan I desperately needed for rent. The man on the phone had sounded so official, explaining that this upfront fee was a standard verification step for people like me who don't have bank accounts, but the moment the machine printed the receipt with that precise, odd balance, I knew the line had gone dead forever. There is no customer service number to call, no bank manager to plead with, just the crushing realization that the small sliver of hope I'd been clinging to has vanished into thin air along with nearly seven hundred dollars I can never get back. Now, as I stare at the useless plastic card in my palm, the heavy silence of the street outside feels louder than the panic rising in my chest, knowing I am further behind than when I started.",['en'],advance fee,2024-01-31T13:53:00+00:00,699.23,100.19,50,13,0,Monday,1,980,10,advance fee,en,Prepaid Visa/Mastercard,0
89f3e32d-cf96-4d7d-9ed2-87eb490dd76f,synth_ce3048c604b8,unbanked,tabddpm_synthetic,"I stood in the flickering light of the corner store, my hands shaking as I peeled off three prepaid cards to cover the $101.88 ""processing fee"" the voice on the phone promised would unlock my emergency payday loan. The clerk didn't ask questions as I scratched off the PINs and read them aloud, watching my last bit of cash vanish into the digital ether for a promise that felt too good to be true but was my only lifeline. Within minutes, the line went dead, and the crushing weight of realization settled in my stomach; I wasn't just out of money, I was out of options, having lost everything to a scam that preyed on people like me who don't have a bank account to flag the fraud. That specific sum, $101.88, wasn't just a number; it was my rent contribution, my grocery budget, and now, a stark reminder of how easily desperation can be monetized by strangers hiding behind a dial tone.",['en'],advance fee,2024-02-19T12:18:00+00:00,101.88,7.43,25,12,0,Monday,3,546,5,advance fee,en,Cash (informal),0
f28a5926-df93-4fa3-ac1d-82ae5094e0a5,synth_961e1dbc7292,unbanked,tabddpm_synthetic,"I stood at the flickering kiosk in the corner store, my hands shaking as I scratched off the silver coating on three separate $1,000 prepaid cards because the man on the phone swore it was the only way to stop the utility company from cutting off my lights before winter. He walked me through every step, telling me to read the long numbers on the back while he claimed he was ""verifying"" my account, but in reality, he was draining the value the second I spoke the codes aloud, leaving me with nothing but useless plastic and a $3,000 hole in my life savings. That money was meant for my medicine and rent, gathered in cash over months because I don't trust banks, and now it has vanished into the air with no way to trace it or get it back. Sitting on the bus ride home, the silence in my head is louder than the traffic outside, heavy with a cold dread knowing I have been fooled out of my security by a voice that sounded so kind and official.",['en'],prepaid,2024-07-10T23:08:00+00:00,3000.0,1500.0,60,23,0,Monday,31,1,50,prepaid,en,Bill pay kiosk,0
15492e5a-3a28-4ebb-9bec-35e5c3452abc,synth_d319a0d3f01a,unbanked,tabddpm_synthetic,"Tôi vẫn còn nhớ như in cảm giác bàn tay run rẩy khi đứng trước máy kiosk lạ lẫm, tin rằng khoản vay ba nghìn đô la ấy sẽ cứu cánh cho cuộc sống khó khăn mà không hề hay biết mình đang rơi vào bẫy của bọn lừa đảo chuyên nghiệp. Chúng dụ dỗ tôi mua những thẻ trả trước vô danh để ""xác minh tài khoản"", và tôi đã ngoan ngoãn cào lớp phủ bạc, đọc từng dãy số qua điện thoại với niềm tin ngây thơ rằng đó là thủ tục bắt buộc. Chỉ trong vài phút, số tiền dưỡng già tích cóp cả đời đã bốc hơi không dấu vết, và vì không có tài khoản ngân hàng để bảo vệ hay truy vết, tôi đứng chôn chân giữa phố đông người mà lòng lạnh giá như tờ. Giờ đây, nỗi nhục nhã và sự hối hận đắng cay cứ đè nặng lên ngực, nhắc nhở tôi rằng sự thiếu hiểu biết về công nghệ đã khiến tuổi già phải trả giá bằng sự cô đơn không nơi nương tựa.",['vi'],kiosk,2024-04-10T00:51:00+00:00,3000.0,1500.0,60,0,0,Monday,0,1,100,kiosk,vi,Payday loan,1
3f8d499f-415a-4a1d-812a-db97f75b473d,synth_3345de6cc67c,unbanked,tabddpm_synthetic,"I thought I had finally caught a break when the check for $1,399.89 landed in my hands, promising to clear my overdue bills if I just wired a small ""processing fee"" of $400 through the prepaid card kiosk at the corner store. The scammer on the phone sounded so official, explaining that I needed to buy three Green Dot cards and read them the codes to verify the funds before the bank would release the full amount, a trick I now know relies on the fact that stores make deposited checks available immediately even when they are fake. By the time the bank called two days later to say the check was worthless and reversed the entire amount, I was out the $400 in cash I had scraped together from payday loans, plus the steep fees for cashing the bad check itself. Standing there in the fluorescent glare of the check-cashing place, surrounded by neighbors who rely on these same precarious services, I felt a cold, heavy shame settle in my gut, realizing my desperation had been weaponized against me and that this loss meant missing rent and facing another cycle of debt I cannot escape.",['en'],advance fee,2024-03-27T20:20:00+00:00,3000.0,1500.0,60,20,0,Monday,90,1,43,advance fee,en,Check cashing service,0
e0bf149d-2f1b-4126-afd2-ad909375ff41,synth_36ceff25c829,unbanked,tabddpm_synthetic,"I stood in the flickering light of the corner store kiosk, clutching a $3,000 payroll check from a gig job that promised quick cash but demanded I load it onto a specific prepaid card to ""verify"" my identity. The machine's screen guided me through a deceptive dance: scan the check, enter the card details, and wait for the ""instant availability"" notification, a mechanic that fraudsters exploit by overriding the bank's standard hold periods with fake confirmation codes while the actual funds remain frozen or non-existent. Within minutes, the kiosk printed a receipt showing a successful deposit, but when I tried to withdraw even twenty dollars for gas, the system flagged the account as compromised, revealing that the check was a sophisticated forgery and the ""available"" balance was merely a digital ghost. Now, I'm not only out the three grand I thought I had, but I'm also on the hook for the kiosk's steep bounce fees and facing potential legal scrutiny for attempting to cash a bad check, leaving me with a hollow pit in my stomach and a deeper distrust of the very systems supposed to help people like me survive. It feels like the walls of this neighborhood are closing in, knowing that every shortcut we're forced to take in the shadows of the banking world is just another trap waiting to snap shut on our already fragile finances.",['en'],kiosk,2024-11-06T23:09:00+00:00,3000.0,1500.0,20,23,0,Monday,90,1,100,kiosk,en,Check cashing service,0
581ee448-51e7-462c-b4ad-5f7eb3597812,synth_5e1081359f66,unbanked,tabddpm_synthetic,"I stood at the flickering kiosk in the back of the check-cashing store, feeding crisp bills into the slot until the screen confirmed the $189.38 load onto a Green Dot card, believing the caller who promised it was the only way to stop my electricity from being cut. It wasn't until the balance hit zero that I realized I’d fallen for the prepaid card scam they warn us about at the community center, a trap targeting folks like me who don't have a bank account to trace the money. That cash was my rent stash, and watching it vanish to predators pretending to be utility agents leaves a cold knot of shame in my chest, knowing I’m deeper in the hole with the lights still scheduled to go off.",['en'],kiosk,2024-04-10T15:26:00+00:00,189.38,20.13,27,15,1,Tuesday,4,223,7,kiosk,en,Bill pay kiosk,0
5aef6bd8-1964-4edf-b5fd-969ff178a91c,synth_ff8c7112feaf,unbanked,tabddpm_synthetic,"I counted out the five hundred and seventy-nine dollars and eighty-two cents in crumpled twenties and tens right there on the chipped counter of the corner store, handing it over for what was supposed to be a prepaid card loaded with emergency funds for my rent. The guy behind the glass, a new face I'd never seen before the week prior, tapped furiously at a kiosk that looked slightly different from the usual ones, muttering about a ""system override"" needed to bypass the daily load limit. When he slid the card back to me with a receipt that felt too thin and lacked the bank's official watermark, a cold knot tightened in my stomach as I realized the activation code he'd scribbled down was already crossed out and rewritten in a different ink. I walked out into the humid air clutching that useless piece of plastic, knowing that nearly six hundred dollars—money I'd scraped together from three different gig jobs and cashed checks with exorbitant fees—was likely gone forever, vanished into the same shadowy network that has picked our neighborhood clean time and again. The silence in my head was louder than the traffic, filled only by the crushing weight of knowing that without a bank account to dispute the charge or freeze the funds, I am left alone to face the eviction notice waiting in my mailbox.",['en'],unknown,2024-02-15T14:45:00+00:00,579.82,68.17,33,14,5,Saturday,3,216,7,unknown,en,Cash (informal),0
34fd77c1-8490-4d87-92fc-86b0261856a2,synth_080ae1e40cc6,unbanked,tabddpm_synthetic,"Vì không có tài khoản ngân hàng, tôi đã mang 3.000 đô la tiền mặt đến quầy kiosk với hy vọng vay nhanh, tin vào lời mời mua thẻ trả trước để ""đảm bảo khoản vay"". Kẻ gian đã hướng dẫn tôi nạp tiền và đọc mã xác thực qua điện thoại, một thủ thuật giúp chúng chuyển toàn bộ số tiền dưỡng già bao năm của tôi sang tài khoản khác ngay lập tức mà không hề có khoản vay nào được giải ngân. Giờ đây, cảm giác bàng hoàng và xấu hổ đè nặng lên tôi khi nhận ra mình đã trở thành nạn nhân của một bẫy tài chính tinh vi nhắm vào người lớn tuổi không rành công nghệ.",['vi'],kiosk,2024-12-02T00:16:00+00:00,3000.0,1500.0,60,0,0,Monday,90,1,100,kiosk,vi,Cash (informal),1
