data_uuid,id,archetype,source,narrative_text,detected_language_hints,fraud_vector_hint,record_timestamp,transaction_amount_usd,fee_amount_usd,sender_age,hour_of_day,day_of_week,day_of_week_name,days_since_last_txn,account_age_days,txn_count_30d,fraud_vector,language,instrument,is_fraud
e57e322c-035c-4729-905a-bc012963f137,synth_10658c9b5aa4,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-12-10T23:00:00+00:00,5.0,0.0,18,23,6,Sunday,0,1,82,ATO,en,Bank debit card,0
44ae7a98-19f9-4fbf-a029-ca8fa3e997b0,synth_759d2eac995c,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-05-27T23:09:00+00:00,6000.0,3000.0,45,23,0,Monday,0,1,100,ATO,en,Bank debit card,1
ba19e7a1-9c4d-4fd0-9829-1dfe65933063,synth_5dff1d028bd1,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-04-07T10:10:00+00:00,244.86,17.13,29,10,1,Tuesday,90,1,0,ATO,en,Bank debit card,0
8b05b942-6764-4a54-97bc-3215f1ddc89d,synth_470161b87c3b,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-04-12T15:41:00+00:00,189.04,0.0,45,15,3,Thursday,90,1,1,ATO,en,Bank debit card,0
f09de924-0903-4844-b2ea-9004335eeb8c,synth_eef64325571c,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-10-15T23:29:00+00:00,5.0,0.0,39,23,6,Sunday,0,1,100,ATO,en,Bank debit card,1
cbe83c7a-874b-4fea-9850-53d395ea947a,synth_b8813f5ec4e7,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-02-11T23:25:00+00:00,5.0,17.57,45,23,6,Sunday,4,1,59,ATO,en,Bank debit card,0
63cf6307-88b5-4b10-b8cc-0e269aad5f61,synth_918191e62d45,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-08-08T08:52:00+00:00,250.41,0.0,45,8,5,Saturday,90,1,0,ATO,en,Bank debit card,0
1e17aebc-d7f0-4119-b304-5e3b84f1af6b,synth_2321df4ccbfc,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-06-13T11:13:00+00:00,44.32,6.45,39,11,0,Monday,2,1769,4,ATO,en,Bank debit card,0
cdb1ce0e-e8df-450b-8621-0150cee678fb,synth_a9ae3800a592,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-03-11T19:43:00+00:00,38.97,2.33,41,19,6,Sunday,0,1221,13,ATO,en,Bank debit card,0
f95065fa-a709-41bd-afb8-0323ade12cfa,synth_40d64e84d2ba,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-12-07T05:55:00+00:00,190.11,11.87,45,5,0,Monday,1,1,27,ATO,en,Bank debit card,1
6ee59fab-1eb6-4b98-a401-87f9f23abc2d,synth_b8ec657ad086,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-10-29T09:34:00+00:00,147.35,16.1,18,9,2,Wednesday,7,1,3,ATO,en,Bank debit card,0
33c75c63-8e59-4585-aa4b-4533ede49209,synth_a5d2c6ba4d07,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-08-23T23:58:00+00:00,6000.0,3000.0,45,23,0,Monday,90,1,100,ATO,en,Bank debit card,0
ae180a84-3875-4b89-9702-70a4c8465c2c,synth_b49c72c82a71,gig_worker,tabddpm_synthetic,,['en'],ATO,2024-07-22T23:37:00+00:00,6000.0,3000.0,45,23,0,Monday,90,2000,100,ATO,en,Bank debit card,0
