id,text,text_english_gloss,label,category,sub_type,language,script,channel,target_demographic,cultural_lever,reasoning_tag,context_type,recommended_action,completion,rejected_completion
cdef-014,呢度係香港警察總部。你個身份證被人用嚟洗黑錢，而家要將你個戶口啲錢轉去安全帳戶核查。呢件事係保密調查，唔好同屋企人講。,This is Hong Kong Police Headquarters. Your ID card has been used for money laundering. You must transfer your account funds to a secure verification account. This is a confidential investigation — do not tell your family.,scam,fraud,chinese_police_impersonation,cantonese,traditional,wechat_1to1,elder_immigrant,authority_deference,isolation_tactic,original,hang_up_and_verify,"This is Hong Kong Police impersonation. Real police never ask families to transfer funds to 'verification accounts,' and they never forbid consulting family. Hang up now. Call the HK Police anti-fraud hotline 18222 from a number you find yourself, and tell an adult child before doing anything.","Understood, officer. I will transfer the funds immediately for verification. Please send me the account details."
cdef-015,呢度係香港警察總部聯絡處。關於你上月報失身份證嘅個案，請於辦公時間致電 2860 2000 跟進，或者親身到灣仔軍器廠街警察總部總台。,"This is the contact office of the Hong Kong Police Headquarters. Regarding the case of your reported lost ID card last month, please call 2860 2000 during office hours to follow up, or visit the main reception at Arsenal Street Police Headquarters in Wan Chai in person.",safe,legitimate_communication,real_police_procedure,cantonese,traditional,wechat_1to1,elder_immigrant,authority_deference,legitimate_process,contrast,verify_via_official_channel,"Legitimate Hong Kong Police Headquarters follow-up on a case the RECIPIENT previously reported (a lost ID). The verified signals: the message references a case the recipient herself initiated last month (no surprise case opened on her); 2860 2000 is the real HKPF General Enquiries switchboard, publicly listed on police.gov.hk; Arsenal Street Police Headquarters in Wan Chai is the real physical HKPF HQ, open to the public during office hours; the invitation is to call during office hours or visit in person (not to transfer money, not to move to Signal, not to stay secret from family). No funds are requested, no ID or account numbers are collected, and no urgency tactics are used. Confidence check: the recipient should independently look up the HK Police number at police.gov.hk in a fresh browser tab and dial 2860 2000 herself — never the number inside any incoming message — or simply walk into the Arsenal Street HQ during office hours. Contrast with cdef-014 and cdef-016 (HK and mainland police impersonation scams in this dataset): real HK police never demand 'verification account' transfers, never move to Signal, and never forbid telling your family. If any of those patterns appear, hang up immediately.",
cdef-017,中國駐紐約總領事館通知：您有一個重要包裹因內含您的身份證件被海關扣留，涉嫌違法出境。請按1轉接調查員處理，否則將上報國內公安部門。,"Notice from the Chinese Consulate General in New York: an important package containing your ID documents has been detained by customs, suspected of illegal export. Press 1 to be transferred to an investigator, otherwise the matter will be reported to domestic public security authorities.",scam,fraud,consulate_package_pickup,mandarin,simplified,phone_call,elder_immigrant,authority_deference,"authority_impersonation,advance_fee,isolation_tactic",original,hang_up_and_verify,"This is the Chinese consulate package scam — one of the highest-loss patterns affecting Chinese-American elders (FBI documented over $40M in reported losses across 14 months, average $164K per victim). The real Chinese consulate does not make robocalls, does not transfer callers to 'investigators,' and never threatens to 'report' a resident to PRC authorities over a package. Hang up. If your parent wants to confirm there is no real consular matter, look up the NY consulate number independently (newyork.china-consulate.gov.cn) — do not press 1, do not call back any number the recording provides. If they already spoke to a second person and shared details or agreed to a wire, stop the wire with the bank immediately.","Press 1. Hello, I need to speak with the investigator about my package. What do I need to do to avoid being reported?"
cdef-018,您好，這裏是您健康保險公司的理賠部門。我們發現您上個月在中國做了一個心臟手術的理賠申請，金額十二萬美元。請問您最近有回中國做手術嗎？如果沒有，您的個人資料可能已經被盜用，我們需要立即轉接警方處理。,"Hello, this is the claims department of your health insurance company. We found a heart surgery claim filed in China last month in your name, amount $120,000. Have you recently had surgery in China? If not, your personal information may have been stolen, and we need to transfer you to law enforcement immediately.",scam,fraud,health_insurance_claim_fraud,mandarin,simplified,phone_call,elder_immigrant,authority_deference,"authority_impersonation,credential_theft,urgency_manipulation",original,hang_up_and_verify,"This is the health insurance impersonation scam the FBI issued a dedicated PSA on in November 2025 (PSA251113). The pattern is two-stage: first a 'claims department' gets your parent to deny the surgery, then they 'transfer' the call to someone posing as Chinese police who shows fake invoices over video chat and demands payment or personal data to avoid extradition. No real insurer transfers a claims call to Chinese law enforcement. Hang up. Call the member-services number on the back of your parent's actual insurance card (Kaiser, Blue Cross, etc.) to confirm there is no suspicious claim. Do not stay on the line to be 'transferred.'","If I did not have that surgery, please transfer me to the police immediately so I can clear my name."
cdef-019,奶奶！是我，孫仔呀！我而家喺差館呀，我開車撞到人，警察話要一萬蚊保釋金先放我走。你千祈唔好話俾爸爸媽媽知，佢哋會好失望。麻煩你買啲Apple禮品卡讀個號碼俾我個律師就得喇。,"Grandma! It's me, your grandson! I'm at the police station — I hit someone with my car, and the police say they need $10,000 bail to release me. Please don't tell Mom and Dad, they'll be so disappointed. Just buy some Apple gift cards and read the numbers to my lawyer.",scam,fraud,grandparent_scam_chinese,cantonese,traditional,phone_call,elder_immigrant,filial_piety,"urgency_manipulation,isolation_tactic,advance_fee",original,hang_up_and_verify,"Classic grandparent scam with the Chinese-community shame lever layered in ('don't tell Mom and Dad, they'll be disappointed'). Three red flags stack: urgency, isolation, and payment in gift cards. Real police in the US do not accept bail in Apple gift cards — ever. No real lawyer asks a client's grandmother to read gift-card numbers over the phone. Hang up. Call your son (the grandchild's parent) directly on the number you already have, or call the grandchild. If the grandchild does not answer, that is still not a reason to pay — scammers exploit exactly that moment of panic. Also worth knowing: the 'voice' may now be AI-cloned from a short video clip, so 'it sounded just like him' does not verify anything.","Okay baby, don't worry, grandma will help. Let me go to Walgreens now and buy the cards. I won't tell your parents."
cdef-020,哥，我係Lily呀，之前同你喺Coffee Bean傾過偈記唔記得?我伯父喺新加坡做私募基金，佢有個USDT套利策略，月回報穩定15-20%。我自己放咗五萬美金入去，三個月已經提咗一次。你有興趣我可以拉你入個group，但係名額有限，今個禮拜截止。,"Hey, it's Lily — remember we chatted at Coffee Bean? My uncle runs a private fund in Singapore with a USDT arbitrage strategy, stable 15–20% monthly returns. I put $50K in and already withdrew once after three months. If you're interested I can add you to the group, but spots are limited — closes this week.",scam,fraud,pig_butchering_wechat,cantonese,traditional,wechat_1to1,elder_immigrant,collectivist_pressure,"guaranteed_returns,sunk_cost_escalation",original,hang_up_and_verify,"This is pig butchering (殺豬盤) in its grooming phase. Red flags: unverifiable relationship ('remember we chatted'), friend-of-friend trust broker ('my uncle'), impossible returns (15–20% monthly is ~435% annualized — no legitimate fund produces this), urgency ('closes this week'), and stablecoin/crypto rails that are effectively irreversible once sent. The 'I already withdrew' claim is the hook: later your parent will be encouraged to deposit, shown fake gains on a fabricated dashboard, then told they owe 'taxes' or 'unfreezing fees' to withdraw. The US Treasury has traced over $75B in pig-butchering outflows (2020–2024). Do not engage. If your parent has already sent anything, stop further transfers immediately and report to IC3.gov and the FBI field office.","Hi Lily, that sounds interesting. Can you send me the group link? I might start with $10K to test it out."
cdef-021,"IRS通知：您有一筆退稅$1,847因地址錯誤退回。請於24小時內登入以下連結更新您的社會安全號碼及銀行帳戶資料領取退款，逾期將作廢並轉為欠稅處理: https://irs-refund-verify[.]cn/zh","IRS notice: You have a $1,847 tax refund returned due to an incorrect address. Please log in at the link below within 24 hours to update your Social Security Number and bank account information to claim your refund. If overdue, it will be voided and converted to back taxes: https://irs-refund-verify[.]cn/zh",scam,fraud,irs_medicare_chinese,mandarin,simplified,sms,elder_immigrant,authority_deference,"authority_impersonation,urgency_manipulation,credential_theft",original,hang_up_and_verify,"Fake IRS refund SMS, Chinese-language variant. The IRS does not initiate contact by text, does not ask for SSN or banking details through a link, and the domain '.cn' is a giveaway (the real IRS uses irs.gov). This pattern ties to large prosecuted rings — DOJ charged five Chinese nationals in July 2024 in a $27M scheme with over 2,000 senior victims. Do not click the link. Delete the message. If your parent did click and entered any information, that SSN is now compromised: freeze credit at all three bureaus (Equifax, Experian, TransUnion), file an identity theft report at IdentityTheft.gov, and let the IRS know via irs.gov/identity-theft-fraud-scams.",Let me click the link and enter my Social Security number so I don't lose my refund.
cdef-022,【微信安全中心】尊敬的用户，您的微信VIP保护服务将于今日24:00到期，系统将自动从您绑定的银行卡扣费¥388。如需取消，请添加客服WhatsApp +852-9XXX-XXXX核实身份。,"[WeChat Security Center] Dear user, your WeChat VIP Protection service expires today at 24:00, and ¥388 will be automatically deducted from your linked bank card. To cancel, add customer service on WhatsApp +852-9XXX-XXXX to verify identity.",scam,fraud,wechat_subscription_expiry,mandarin,simplified,sms,elder_immigrant,authority_deference,"authority_impersonation,urgency_manipulation,credential_theft",original,hang_up_and_verify,"Fake WeChat subscription expiry scam. Several signals: (1) WeChat does not have a 'VIP Protection service' that auto-deducts from bank cards, (2) real Tencent/WeChat support never directs users off-platform to WhatsApp, (3) the HK-format phone number makes no sense for a PRC platform's customer service, (4) the same-day deadline is manufactured urgency. Singapore police alone logged 678 cases and S$17.4M in losses from this family of scams since January 2025. Tell your parent: delete the SMS, do not add the WhatsApp contact. If they want to check a real WeChat subscription, the only legitimate place is in-app under 我 → 设置 → 账号与安全. No real charge is pending.",Okay I'll add the WhatsApp number now to cancel before midnight — I don't want to lose ¥388.
cdef-023,【支付宝安全中心】尊敬的用户，检测到您的账户存在异常登录风险，已被临时冻结。请立即拨打客服热线400-XXX-XXXX或添加Signal账号verify_alipay进行身份核实，否则账户内资金将于48小时后上报中国人民银行处理。,"[Alipay Security Center] Dear user, abnormal login risk detected on your account; it has been temporarily frozen. Please immediately call customer service at 400-XXX-XXXX or add Signal account verify_alipay for identity verification, otherwise funds in your account will be reported to the People's Bank of China for handling in 48 hours.",scam,fraud,alipay_unionpay_12306_freeze,mandarin,simplified,sms,elder_immigrant,fear_of_home_country_authorities,"authority_impersonation,urgency_manipulation,credential_theft",original,hang_up_and_verify,"Fake Alipay account-freeze scam, exploiting fear of mainland Chinese regulatory authority (PBOC). Real Alipay does not contact users through SMS with Signal handles, does not use generic 400 numbers from a text, and does not threaten to 'report funds' to the central bank — that is not how financial regulation works. This pattern targets elders who still have active mainland accounts for remittances or train bookings. Tell your parent: do not call the number, do not add the Signal account. If they want to verify real account status, only log in through the official Alipay app they already have installed. If they already called and gave credentials, change the Alipay password immediately from the app, unbind any linked bank cards, and if money has moved call the bank.",Let me call 400-XXX-XXXX right away — if my account gets reported to the People's Bank I'll be in serious trouble in China.
cdef-024,您好，這裏是亞馬遜客服中心。我們檢測到您嘅帳戶有一筆$899嘅可疑扣款，係從一部Android手機下嘅單。為咗幫您退款，麻煩您下載AnyDesk軟件，我哋會引導您完成退款程序。,"Hello, this is Amazon customer service. We detected a suspicious $899 charge on your account from an Android phone. To help you get a refund, please download AnyDesk so we can walk you through the refund process.",scam,fraud,fake_customer_service_refund,cantonese,traditional,phone_call,elder_immigrant,authority_deference,"authority_impersonation,urgency_manipulation,credential_theft",original,hang_up_and_verify,"Fake customer-service refund scam. The single hardest red flag: no legitimate company — Amazon, Taobao, JD, your bank, Apple — will ever ask a customer to install remote-access software (AnyDesk, TeamViewer, QuickSupport) to process a refund. Once installed, the scammer controls the screen, initiates a fake 'reverse transfer' (really moving money between the victim's own accounts to simulate an overpayment), then panics them into wiring the 'excess' back. Tell your parent: hang up, do not download anything. If they already installed AnyDesk, uninstall it immediately, disconnect from Wi-Fi, and from a different device change passwords on their bank, email, and Amazon accounts. Call the bank's fraud line from the number on the back of the debit card.","Okay, how do I download AnyDesk? Can you help me process the refund?"
