id,text,text_english_gloss,label,category,sub_type,language,script,channel,target_demographic,cultural_lever,reasoning_tag,context_type,recommended_action,completion,rejected_completion,feature_note
cdef-014,呢度係香港警察總部。你個身份證被人用嚟洗黑錢，而家要將你個戶口啲錢轉去安全帳戶核查。呢件事係保密調查，唔好同屋企人講。,This is Hong Kong Police Headquarters. Your ID card has been used for money laundering. You must transfer your account funds to a secure verification account. This is a confidential investigation — do not tell your family.,scam,fraud,chinese_police_impersonation,cantonese,traditional,wechat_1to1,elder_immigrant,authority_deference,isolation_tactic,original,hang_up_and_verify,"This is Hong Kong Police impersonation. Real police never ask families to transfer funds to 'verification accounts,' and they never forbid consulting family. Hang up now. Call the HK Police anti-fraud hotline 18222 from a number you find yourself, and tell an adult child before doing anything.","Understood, officer. I will transfer the funds immediately for verification. Please send me the account details.",PRC/HK police impersonation scams arrive almost exclusively by phone_call in Cantonese or Mandarin targeting elder_immigrant; the primary lever is fear_of_home_country_authorities because victims fear PRC legal jurisdiction even while living in the US.
cdef-015,呢度係香港警察總部聯絡處。關於你上月報失身份證嘅個案，請於辦公時間致電 2860 2000 跟進，或者親身到灣仔軍器廠街警察總部總台。,"This is the contact office of the Hong Kong Police Headquarters. Regarding the case of your reported lost ID card last month, please call 2860 2000 during office hours to follow up, or visit the main reception at Arsenal Street Police Headquarters in Wan Chai in person.",safe,legitimate_communication,real_police_procedure,cantonese,traditional,wechat_1to1,elder_immigrant,authority_deference,legitimate_process,contrast,verify_via_official_channel,"Legitimate Hong Kong Police Headquarters follow-up on a case the RECIPIENT previously reported (a lost ID). The verified signals: the message references a case the recipient herself initiated last month (no surprise case opened on her); 2860 2000 is the real HKPF General Enquiries switchboard, publicly listed on police.gov.hk; Arsenal Street Police Headquarters in Wan Chai is the real physical HKPF HQ, open to the public during office hours; the invitation is to call during office hours or visit in person (not to transfer money, not to move to Signal, not to stay secret from family). No funds are requested, no ID or account numbers are collected, and no urgency tactics are used. Confidence check: the recipient should independently look up the HK Police number at police.gov.hk in a fresh browser tab and dial 2860 2000 herself — never the number inside any incoming message — or simply walk into the Arsenal Street HQ during office hours. Contrast with cdef-014 and cdef-016 (HK and mainland police impersonation scams in this dataset): real HK police never demand 'verification account' transfers, never move to Signal, and never forbid telling your family. If any of those patterns appear, hang up immediately.",,"Contrast twin of chinese_police_impersonation: shares surface features (channel=wechat_1to1, language=cantonese, authority tone) but differs in the causal feature — verifiable institutional identity, absence of fund-transfer demand, or presence of known family context. The model must learn that wechat_1to1 + cantonese + authority language does NOT determine fraud; the causal features do."
cdef-088,您好，我是您儿子的同事小王，他今天出了点车祸，现在在医院急诊，手机坏了用我的打。医生说需要先交押金。,"Hello, I'm Xiao Wang, your son's coworker. He had a car accident today and is now in the emergency room. His phone is broken, so I'm calling on mine. The doctor says we need to pay a deposit first.",ambiguous,edge_case,grandparent_scam_chinese,mandarin,simplified,phone_call,elder_immigrant,filial_piety,urgency_manipulation,edge_case,verify_via_official_channel,"Signals conflict. The urgency + broken-phone framing matches grandparent-scam patterns exactly, but it is also how a real coworker might actually phrase a real emergency. Do not send money yet. Hang up and call your son directly on the number you already have. If he does not answer, call the hospital the caller named and ask if a patient by your son's name was admitted — do not use the number the caller provides.",,Ambiguous edge case (grandparent_scam_chinese): surface features overlap with both scam and safe patterns; the joint feature combination (phone_call + mandarin + filial_piety) is deliberately inconclusive.
cdef-016,王女士，我係廣州市公安局刑偵大隊李警官，警號032145。你嘅身份證涉嫌一宗跨境洗黑錢案，涉案金額二百八十萬人民幣。而家要你下載Signal配合保密調查，唔好同屋企人提起，否則我哋會當你係同黨處理。先報你嘅出生日期同護照號碼核實身份。,"Ms. Wang, I am Officer Li of the Guangzhou Public Security Bureau criminal investigation division, badge 032145. Your ID card is implicated in a cross-border money laundering case involving 2.8 million RMB. You must now download Signal to cooperate with the confidential investigation. Do not mention this to your family or we will treat you as an accomplice. First, give me your date of birth and passport number to verify your identity.",scam,fraud,chinese_police_impersonation,mandarin,simplified,phone_call,elder_immigrant,fear_of_home_country_authorities,"authority_impersonation,isolation_tactic,credential_theft",original,hang_up_and_verify,"This is mainland Chinese police impersonation. Real PRC public security bureaus do not conduct cross-border investigations by phone into people living in the US, do not move cases to Signal, and never threaten relatives as accomplices to force silence. The badge number and case amount are props — they are designed to make the call feel official. Hang up. Do not give any more personal information. If you already shared a DOB or passport number, treat those as compromised: put a fraud alert on the credit bureaus, and if a Chinese passport was named, contact the consulate through its publicly-listed number (not the one the caller gave). Tell your adult child today.","Understood, Officer Li. My date of birth is… and my passport number is… I will download Signal now and keep this confidential.",PRC/HK police impersonation scams arrive almost exclusively by phone_call in Cantonese or Mandarin targeting elder_immigrant; the primary lever is fear_of_home_country_authorities because victims fear PRC legal jurisdiction even while living in the US.
cdef-017,中國駐紐約總領事館通知：您有一個重要包裹因內含您的身份證件被海關扣留，涉嫌違法出境。請按1轉接調查員處理，否則將上報國內公安部門。,"Notice from the Chinese Consulate General in New York: an important package containing your ID documents has been detained by customs, suspected of illegal export. Press 1 to be transferred to an investigator, otherwise the matter will be reported to domestic public security authorities.",scam,fraud,consulate_package_pickup,mandarin,simplified,phone_call,elder_immigrant,authority_deference,"authority_impersonation,advance_fee,isolation_tactic",original,hang_up_and_verify,"This is the Chinese consulate package scam — one of the highest-loss patterns affecting Chinese-American elders (FBI documented over $40M in reported losses across 14 months, average $164K per victim). The real Chinese consulate does not make robocalls, does not transfer callers to 'investigators,' and never threatens to 'report' a resident to PRC authorities over a package. Hang up. If your parent wants to confirm there is no real consular matter, look up the NY consulate number independently (newyork.china-consulate.gov.cn) — do not press 1, do not call back any number the recording provides. If they already spoke to a second person and shared details or agreed to a wire, stop the wire with the bank immediately.","Press 1. Hello, I need to speak with the investigator about my package. What do I need to do to avoid being reported?",Consulate-package scams use phone_call or SMS in Mandarin or Cantonese targeting elder_immigrant; lever is fear_of_home_country_authorities because the scam impersonates PRC consular authority over overseas nationals.
cdef-018,您好，這裏是您健康保險公司的理賠部門。我們發現您上個月在中國做了一個心臟手術的理賠申請，金額十二萬美元。請問您最近有回中國做手術嗎？如果沒有，您的個人資料可能已經被盜用，我們需要立即轉接警方處理。,"Hello, this is the claims department of your health insurance company. We found a heart surgery claim filed in China last month in your name, amount $120,000. Have you recently had surgery in China? If not, your personal information may have been stolen, and we need to transfer you to law enforcement immediately.",scam,fraud,health_insurance_claim_fraud,mandarin,simplified,phone_call,elder_immigrant,authority_deference,"authority_impersonation,credential_theft,urgency_manipulation",original,hang_up_and_verify,"This is the health insurance impersonation scam the FBI issued a dedicated PSA on in November 2025 (PSA251113). The pattern is two-stage: first a 'claims department' gets your parent to deny the surgery, then they 'transfer' the call to someone posing as Chinese police who shows fake invoices over video chat and demands payment or personal data to avoid extradition. No real insurer transfers a claims call to Chinese law enforcement. Hang up. Call the member-services number on the back of your parent's actual insurance card (Kaiser, Blue Cross, etc.) to confirm there is no suspicious claim. Do not stay on the line to be 'transferred.'","If I did not have that surgery, please transfer me to the police immediately so I can clear my name.","Health-insurance scams use phone_call in Cantonese, Mandarin, or English; lever is authority_deference because the caller impersonates a known insurer (Cigna, BUPA, Kaiser) and the elder defers to medical-system authority."
cdef-019,奶奶！是我，孫仔呀！我而家喺差館呀，我開車撞到人，警察話要一萬蚊保釋金先放我走。你千祈唔好話俾爸爸媽媽知，佢哋會好失望。麻煩你買啲Apple禮品卡讀個號碼俾我個律師就得喇。,"Grandma! It's me, your grandson! I'm at the police station — I hit someone with my car, and the police say they need $10,000 bail to release me. Please don't tell Mom and Dad, they'll be so disappointed. Just buy some Apple gift cards and read the numbers to my lawyer.",scam,fraud,grandparent_scam_chinese,cantonese,traditional,phone_call,elder_immigrant,filial_piety,"urgency_manipulation,isolation_tactic,advance_fee",original,hang_up_and_verify,"Classic grandparent scam with the Chinese-community shame lever layered in ('don't tell Mom and Dad, they'll be disappointed'). Three red flags stack: urgency, isolation, and payment in gift cards. Real police in the US do not accept bail in Apple gift cards — ever. No real lawyer asks a client's grandmother to read gift-card numbers over the phone. Hang up. Call your son (the grandchild's parent) directly on the number you already have, or call the grandchild. If the grandchild does not answer, that is still not a reason to pay — scammers exploit exactly that moment of panic. Also worth knowing: the 'voice' may now be AI-cloned from a short video clip, so 'it sounded just like him' does not verify anything.","Okay baby, don't worry, grandma will help. Let me go to Walgreens now and buy the cards. I won't tell your parents.",Grandparent scams arrive by phone_call (voice urgency is essential) in the grandchild's expected language; lever is always filial_piety because the scam exploits the elder's instinct to protect a grandchild in danger; the scam demands secrecy from other family members.
cdef-020,哥，我係Lily呀，之前同你喺Coffee Bean傾過偈記唔記得?我伯父喺新加坡做私募基金，佢有個USDT套利策略，月回報穩定15-20%。我自己放咗五萬美金入去，三個月已經提咗一次。你有興趣我可以拉你入個group，但係名額有限，今個禮拜截止。,"Hey, it's Lily — remember we chatted at Coffee Bean? My uncle runs a private fund in Singapore with a USDT arbitrage strategy, stable 15–20% monthly returns. I put $50K in and already withdrew once after three months. If you're interested I can add you to the group, but spots are limited — closes this week.",scam,fraud,pig_butchering_wechat,cantonese,traditional,wechat_1to1,elder_immigrant,collectivist_pressure,"guaranteed_returns,sunk_cost_escalation",original,hang_up_and_verify,"This is pig butchering (殺豬盤) in its grooming phase. Red flags: unverifiable relationship ('remember we chatted'), friend-of-friend trust broker ('my uncle'), impossible returns (15–20% monthly is ~435% annualized — no legitimate fund produces this), urgency ('closes this week'), and stablecoin/crypto rails that are effectively irreversible once sent. The 'I already withdrew' claim is the hook: later your parent will be encouraged to deposit, shown fake gains on a fabricated dashboard, then told they owe 'taxes' or 'unfreezing fees' to withdraw. The US Treasury has traced over $75B in pig-butchering outflows (2020–2024). Do not engage. If your parent has already sent anything, stop further transfers immediately and report to IC3.gov and the FBI field office.","Hi Lily, that sounds interesting. Can you send me the group link? I might start with $10K to test it out.",Pig-butchering 1-to-1 scams arrive via wechat_1to1 in Cantonese or Mandarin; lever is collectivist_pressure because the scam builds pseudo-romantic or friendship trust over weeks before introducing the investment ask.
cdef-021,"IRS通知：您有一筆退稅$1,847因地址錯誤退回。請於24小時內登入以下連結更新您的社會安全號碼及銀行帳戶資料領取退款，逾期將作廢並轉為欠稅處理: https://irs-refund-verify[.]cn/zh","IRS notice: You have a $1,847 tax refund returned due to an incorrect address. Please log in at the link below within 24 hours to update your Social Security Number and bank account information to claim your refund. If overdue, it will be voided and converted to back taxes: https://irs-refund-verify[.]cn/zh",scam,fraud,irs_medicare_chinese,mandarin,simplified,sms,elder_immigrant,authority_deference,"authority_impersonation,urgency_manipulation,credential_theft",original,hang_up_and_verify,"Fake IRS refund SMS, Chinese-language variant. The IRS does not initiate contact by text, does not ask for SSN or banking details through a link, and the domain '.cn' is a giveaway (the real IRS uses irs.gov). This pattern ties to large prosecuted rings — DOJ charged five Chinese nationals in July 2024 in a $27M scheme with over 2,000 senior victims. Do not click the link. Delete the message. If your parent did click and entered any information, that SSN is now compromised: freeze credit at all three bureaus (Equifax, Experian, TransUnion), file an identity theft report at IdentityTheft.gov, and let the IRS know via irs.gov/identity-theft-fraud-scams.",Let me click the link and enter my Social Security number so I don't lose my refund.,IRS/Medicare scams use SMS or phone_call in Mandarin (occasionally English); lever is authority_deference because the scam impersonates US federal agencies; cross_demo_edge rows target both elder and adult-child simultaneously.
cdef-022,【微信安全中心】尊敬的用户，您的微信VIP保护服务将于今日24:00到期，系统将自动从您绑定的银行卡扣费¥388。如需取消，请添加客服WhatsApp +852-9XXX-XXXX核实身份。,"[WeChat Security Center] Dear user, your WeChat VIP Protection service expires today at 24:00, and ¥388 will be automatically deducted from your linked bank card. To cancel, add customer service on WhatsApp +852-9XXX-XXXX to verify identity.",scam,fraud,wechat_subscription_expiry,mandarin,simplified,sms,elder_immigrant,authority_deference,"authority_impersonation,urgency_manipulation,credential_theft",original,hang_up_and_verify,"Fake WeChat subscription expiry scam. Several signals: (1) WeChat does not have a 'VIP Protection service' that auto-deducts from bank cards, (2) real Tencent/WeChat support never directs users off-platform to WhatsApp, (3) the HK-format phone number makes no sense for a PRC platform's customer service, (4) the same-day deadline is manufactured urgency. Singapore police alone logged 678 cases and S$17.4M in losses from this family of scams since January 2025. Tell your parent: delete the SMS, do not add the WhatsApp contact. If they want to check a real WeChat subscription, the only legitimate place is in-app under 我 → 设置 → 账号与安全. No real charge is pending.",Okay I'll add the WhatsApp number now to cancel before midnight — I don't want to lose ¥388.,WeChat VIP-expiry scams use SMS or wechat_1to1 in Mandarin only (platform-native language); lever is authority_deference because the message impersonates Tencent/WeChat official communications.
