data_uuid,id,archetype,source,narrative_text,detected_language_hints,fraud_vector_hint,record_timestamp,transaction_amount_usd,fee_amount_usd,sender_age,hour_of_day,day_of_week,day_of_week_name,days_since_last_txn,account_age_days,txn_count_30d,fraud_vector,language,instrument,is_fraud
b3648dab-dbbb-4a6a-9f16-c3847ee2571b,synth_c7c44277c7bf,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-10-21T20:48:00+00:00,1139.26,66.73,39,20,3,Thursday,5,1,3,wire transfer,en,Western Union,0
174ed052-f181-4b37-a2c4-206cccd0e7de,synth_28b8b442f193,remittance,tabddpm_synthetic,,['es'],fraude,2024-09-09T00:21:00+00:00,3539.18,271.85,27,0,6,Sunday,90,2000,28,fraude,es,Remitly,0
53a6b45f-8d85-4442-80d7-d177113826c7,synth_4f42bb32fe35,remittance,tabddpm_synthetic,,['vi'],emergency,2024-06-20T00:50:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,emergency,vi,Hawala,1
2decb208-9c7b-47c5-8700-468c84ca02e3,synth_f22704e977e3,remittance,tabddpm_synthetic,,['ht'],fraude,2024-01-07T21:33:00+00:00,1138.35,51.96,45,21,2,Wednesday,8,778,7,fraude,ht,Cash pickup,0
3e94e06a-937a-4491-90f8-ba984cbe0436,synth_56737bfa6d84,remittance,tabddpm_synthetic,,['en'],exchange rate,2024-07-20T00:16:00+00:00,10000.0,5000.0,26,0,6,Sunday,49,1,51,exchange rate,en,Cash pickup,1
9db9761d-8996-4e01-8bdc-05166d809865,synth_712370131905,remittance,tabddpm_synthetic,,['vi'],emergency,2024-09-23T00:22:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,emergency,vi,Remitly,0
c6f10882-211e-4e88-80d2-eac5430cb2dc,synth_0aee6b13d6df,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-08-31T15:35:00+00:00,535.32,27.61,41,15,5,Saturday,14,1209,7,wire transfer,en,Wire transfer (bank),0
f206435a-aa07-4357-9ecc-913f22c3dc01,synth_ebb6a7be82ba,remittance,tabddpm_synthetic,,['en'],interception,2024-05-06T16:13:00+00:00,50.0,20.82,27,16,4,Friday,5,1008,2,interception,en,Xoom,0
3af5be4b-0775-4df2-af9f-b85a8dd0dd87,synth_c660facb99e8,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-03-23T00:52:00+00:00,10000.0,1882.59,25,0,6,Sunday,90,2000,100,wire transfer,en,Xoom,0
5d54f29d-c82e-4fb5-9be2-67d12f414adc,synth_44b071a1795c,remittance,tabddpm_synthetic,,['en'],fake family,2024-08-19T19:52:00+00:00,398.2,15.22,39,19,0,Monday,8,747,9,fake family,en,MoneyGram,0
4e411f56-997d-4160-8554-634e8507fea0,synth_0aa41919ee15,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-04-17T00:10:00+00:00,2927.82,131.79,29,0,6,Sunday,21,1,31,wire transfer,en,Remitly,1
a82402ff-c37a-47a3-afc4-55d826f2cd40,synth_d7cd96cea17c,remittance,tabddpm_synthetic,,['en'],exchange rate,2024-01-18T18:41:00+00:00,401.43,16.94,30,18,6,Sunday,3,782,10,exchange rate,en,MoneyGram,0
d032ced6-abf0-4c4f-b3cd-48e739838d6a,synth_4df84af6620b,remittance,tabddpm_synthetic,,['en'],fraude,2024-05-10T22:43:00+00:00,674.09,29.91,57,22,6,Sunday,5,1281,8,fraude,en,Xoom,0
1e00f8f2-9f02-4552-adc0-2b4949ff1dc4,synth_3870a2c8162a,remittance,tabddpm_synthetic,,['hi'],fraude,2024-12-11T00:07:00+00:00,1284.68,62.1,48,0,5,Saturday,7,19,25,fraude,hi,Xoom,1
49919924-ad24-4c81-bad1-cc5d13c452b4,synth_120cfb4df9f6,remittance,tabddpm_synthetic,,['yo'],emergency,2024-07-05T22:50:00+00:00,351.98,12.51,61,22,1,Tuesday,0,337,15,emergency,yo,Remitly,0
d4f0b46f-38e7-47b4-87a2-cb980f4f8cb9,synth_ee4f19c56bf6,remittance,tabddpm_synthetic,,['en'],emergency,2024-12-12T00:01:00+00:00,6073.3,540.29,25,0,6,Sunday,90,2000,44,emergency,en,Hawala,0
ff621d42-5b71-400c-b2f7-4ad971bc145f,synth_8bfd82d7481a,remittance,tabddpm_synthetic,,['en'],Western Union,2024-03-31T18:19:00+00:00,633.19,41.62,61,18,2,Wednesday,3,1495,7,Western Union,en,Hawala,0
aaa55c0e-8070-4087-b2f8-5599b233a3b8,synth_4db049ff38fb,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-09-08T00:05:00+00:00,10000.0,5000.0,25,0,6,Sunday,79,1,44,wire transfer,en,Hawala,1
424d655f-a372-4f2b-8277-ff85b8f2fffa,synth_876a242d98a7,remittance,tabddpm_synthetic,,['es'],emergency,2024-01-30T06:55:00+00:00,10000.0,1322.36,25,6,6,Sunday,90,1,6,emergency,es,Cash pickup,0
739d057f-1be4-47a8-9a5a-b9ec7e5b4cb6,synth_a6509b068dd3,remittance,tabddpm_synthetic,,['es'],fake family,2024-01-13T13:07:00+00:00,10000.0,867.96,25,13,6,Sunday,6,117,3,fake family,es,Xoom,0
33beeadb-7b2e-4209-867f-a17f831a31b4,synth_d4b3f3b8c1e4,remittance,tabddpm_synthetic,,['en'],Western Union,2024-01-20T00:10:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,Western Union,en,Western Union,0
d447daec-1ef7-4f95-b7c6-670f5e006120,synth_d30461ee9e3d,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-06-12T00:32:00+00:00,1804.76,100.81,28,0,5,Saturday,13,1,35,wire transfer,en,Hawala,1
cd7d1dbc-6019-41c5-ba80-35e9d96a1557,synth_e4bc2ab65534,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-12-02T00:11:00+00:00,10000.0,5000.0,25,0,6,Sunday,36,1,0,wire transfer,en,Cash pickup,0
674f787e-fe24-4738-8038-c7a5a95ff97b,synth_6c652b2e04a3,remittance,tabddpm_synthetic,,['ht'],exchange rate,2024-12-28T00:48:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,exchange rate,ht,Cash pickup,0
6ddc3a50-3a84-4838-ac1f-83de85d04aaa,synth_a05a62fb2bad,remittance,tabddpm_synthetic,,['en'],unknown,2024-07-22T00:43:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,unknown,en,Western Union,1
ea74fc11-6d2e-453e-b8aa-b17e4257b4c2,synth_b13d729676ab,remittance,tabddpm_synthetic,,['en'],fake family,2024-10-06T00:13:00+00:00,10000.0,5000.0,25,0,6,Sunday,60,1,13,fake family,en,Cash pickup,1
3e470965-5198-4475-81f3-65ff500c5985,synth_10875c790f0b,remittance,tabddpm_synthetic,,['en'],emergency,2024-10-27T23:21:00+00:00,603.2,22.16,47,23,3,Thursday,0,1126,3,emergency,en,Western Union,0
e3297566-0935-4a99-a1b3-709792fa491c,synth_9e93848a57db,remittance,tabddpm_synthetic,,['en'],exchange rate,2024-01-28T00:30:00+00:00,5151.92,420.07,25,0,6,Sunday,90,2000,36,exchange rate,en,Xoom,0
8b496ce0-480b-4d2b-b350-189baa7d64a0,synth_9ba898c2820a,remittance,tabddpm_synthetic,,['en'],exchange rate,2024-12-22T00:36:00+00:00,10000.0,5000.0,25,0,6,Sunday,37,1,0,exchange rate,en,Wire transfer (bank),0
45357494-c56d-4c4a-a667-3f93c9f09b13,synth_c25135ea7fb8,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-03-22T17:08:00+00:00,398.21,17.57,46,17,5,Saturday,0,848,7,wire transfer,en,MoneyGram,0
73cf55e1-8373-49c7-ab4a-f9dd8aceaa54,synth_31edaed445e1,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-07-30T14:18:00+00:00,202.22,20.65,35,14,3,Thursday,4,969,9,wire transfer,en,Remitly,0
2798aff5-d112-4687-951b-7bf1750a71a0,synth_22011db6b2ba,remittance,tabddpm_synthetic,,['en'],exchange rate,2024-12-03T00:08:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,exchange rate,en,MoneyGram,0
5fe18550-4753-485e-b6bb-759a2ff6d669,synth_ede222f8dff4,remittance,tabddpm_synthetic,,['en'],fraude,2024-08-29T22:45:00+00:00,1367.54,44.64,25,22,2,Wednesday,16,440,12,fraude,en,Remitly,0
b09e87bd-b286-46c4-9903-c1576f00dd25,synth_870fd7bd0a48,remittance,tabddpm_synthetic,,['en'],fake family,2024-04-05T17:29:00+00:00,428.23,24.0,27,17,2,Wednesday,5,1342,2,fake family,en,Hawala,0
93fbdff6-8e29-43f0-8281-3fb51f1ae3d2,synth_eb3db9b83ee0,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-10-08T17:13:00+00:00,1732.75,44.44,51,17,3,Thursday,4,836,12,wire transfer,en,Western Union,0
10e4813b-3896-45e8-b2e6-ae303a5293b8,synth_7ad13c2f5bb0,remittance,tabddpm_synthetic,,['vi'],bonus,2024-03-16T20:54:00+00:00,1080.49,35.63,37,20,4,Friday,2,488,12,bonus,vi,Wire transfer (bank),0
3a53bdee-befe-4608-b698-e498a0222cc4,synth_ea363219af79,remittance,tabddpm_synthetic,,['en'],exchange rate,2024-08-26T17:44:00+00:00,355.18,5.77,41,17,4,Friday,10,1760,2,exchange rate,en,Cash pickup,0
c07bf7bb-4df7-409d-9603-96c993a9c2e7,synth_7519f3a8e50f,remittance,tabddpm_synthetic,,['en'],unknown,2024-12-27T15:13:00+00:00,124.24,15.94,39,15,0,Monday,5,193,8,unknown,en,Western Union,0
0954ed3f-84aa-4d6e-8eb3-69c756d5cc2b,synth_2f9873270822,remittance,tabddpm_synthetic,,['en'],emergency,2024-09-12T14:20:00+00:00,692.06,26.78,25,14,4,Friday,2,1347,8,emergency,en,Western Union,0
062f3466-58f9-4aad-824c-914aca3c0cae,synth_e3e4d04494bf,remittance,tabddpm_synthetic,,['en'],emergency,2024-03-25T15:47:00+00:00,374.01,29.12,46,15,5,Saturday,2,832,10,emergency,en,Xoom,0
f428f185-1eef-419a-a842-59453c9f0697,synth_9b794bc688b6,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-08-13T19:54:00+00:00,611.26,41.77,31,19,5,Saturday,0,458,12,MoneyGram,en,Cash pickup,0
fab4779c-4ae1-4680-bb47-6f7e2ec6dcdb,synth_9d3722345f33,remittance,tabddpm_synthetic,,['yo'],exchange rate,2024-05-21T16:49:00+00:00,389.33,16.83,49,16,5,Saturday,2,1011,14,exchange rate,yo,MoneyGram,0
4b1890c3-a331-4964-8cd0-63fe24aef1fd,synth_56568722aa74,remittance,tabddpm_synthetic,,['en'],unknown,2024-08-23T18:14:00+00:00,935.86,23.04,65,18,1,Tuesday,0,643,9,unknown,en,Xoom,0
7e0f28ca-cd47-439b-8914-ce319ec3d5af,synth_d2fc138c73c6,remittance,tabddpm_synthetic,,['en'],fake family,2024-05-03T00:21:00+00:00,1416.09,55.63,29,0,1,Tuesday,5,6,33,fake family,en,Xoom,1
842c8c48-e2d6-4e44-9eaf-dfa84085c799,synth_0b768f4e04ee,remittance,tabddpm_synthetic,,['es'],wire transfer,2024-08-29T19:28:00+00:00,437.07,31.66,52,19,0,Monday,3,518,8,wire transfer,es,Western Union,0
d0c23c19-f90f-4c7f-9ae6-d589a2a52e4c,synth_675c153518c4,remittance,tabddpm_synthetic,,['en'],emergency,2024-12-07T00:39:00+00:00,4607.26,391.3,25,0,6,Sunday,90,2000,36,emergency,en,Hawala,0
8980f0e4-0008-4dcc-a6f0-9d79a3d278d2,synth_6ea9f1d673ca,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-02-26T19:17:00+00:00,461.6,12.08,45,19,5,Saturday,3,1308,6,MoneyGram,en,Wire transfer (bank),0
4d6cc5ba-89ff-4448-a962-a75e0b602205,synth_494ed46c51b5,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-04-02T00:08:00+00:00,10000.0,5000.0,25,0,6,Sunday,85,1,62,wire transfer,en,Western Union,1
b1d43671-945d-488e-b91c-8c00b204f654,synth_6b71fa206cd2,remittance,tabddpm_synthetic,,['en'],wire transfer,2024-12-18T00:31:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,wire transfer,en,MoneyGram,1
e2158ebd-503c-448e-a971-d69ffdf1f4a9,synth_882d2e9e1b98,remittance,tabddpm_synthetic,,['en'],estafa,2024-06-18T18:42:00+00:00,71.95,0.0,42,18,3,Thursday,7,205,7,estafa,en,Hawala,0
fb657d97-9bd5-4156-b54e-77d4abbea2ac,synth_50afc469597c,remittance,tabddpm_synthetic,,['en'],unknown,2024-02-13T00:12:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,unknown,en,Remitly,0
49ed8de7-62b2-4856-b516-93a585c4d15a,synth_52caf6802589,remittance,tabddpm_synthetic,,['yo'],emergency,2024-01-09T00:15:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,100,emergency,yo,Western Union,1
f9e7044b-8c38-4ad5-a8d6-9fcc0120491b,synth_e78190cc157f,remittance,tabddpm_synthetic,,['en'],exchange rate,2024-08-21T21:25:00+00:00,2704.5,94.85,38,21,1,Tuesday,0,582,13,exchange rate,en,Hawala,0
bf72b53c-6614-4a7b-816f-fa6db5be655b,synth_16680f89316e,remittance,tabddpm_synthetic,,['en'],exchange rate,2024-08-31T00:32:00+00:00,3202.66,218.46,25,0,6,Sunday,28,1,60,exchange rate,en,MoneyGram,1
957ce5e6-c94d-4ded-b753-73f9e293662e,synth_6cbb250f20ff,remittance,tabddpm_synthetic,,['en'],interception,2024-08-14T19:08:00+00:00,337.47,31.03,46,19,3,Thursday,10,1258,3,interception,en,Hawala,0
3a0fde23-5146-4e34-97e3-35ed87d4cde8,synth_4c785471ae16,remittance,tabddpm_synthetic,,['en'],interception,2024-02-06T20:19:00+00:00,516.39,26.4,56,20,4,Friday,0,1592,8,interception,en,Xoom,0
ed69bf87-bf36-48c9-a905-adf3045f2cdc,synth_89e09dc6db59,remittance,tabddpm_synthetic,,['en'],fraude,2024-09-19T20:24:00+00:00,50.0,2.77,26,20,3,Thursday,4,1217,8,fraude,en,Wire transfer (bank),0
7bc665bb-b754-4373-a3f9-a0fda7724548,synth_ecc43259de01,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-02-04T23:06:00+00:00,517.23,26.37,34,23,5,Saturday,6,1232,15,MoneyGram,en,Cash pickup,0
4233dfe2-5172-4152-8fa4-c5f31da309ef,synth_68a5256c25e7,remittance,tabddpm_synthetic,,['en'],estafa,2024-07-16T00:02:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,estafa,en,MoneyGram,0
6c2f3496-8b2c-471d-9941-48310cf3ce47,synth_991c06a9bc03,remittance,tabddpm_synthetic,,['vi'],emergency,2024-11-26T00:31:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,emergency,vi,Western Union,0
c25a225e-06e4-4d84-97c8-1e6e2fc6c9da,synth_a1f73fdec267,remittance,tabddpm_synthetic,,['en'],fraude,2024-07-04T09:21:00+00:00,10000.0,1569.27,46,9,6,Sunday,7,1,3,fraude,en,Remitly,0
4e08abaa-790a-417c-be92-dde6d643bbdd,synth_4fa86ac0546d,remittance,tabddpm_synthetic,,['en'],bonus,2024-06-04T00:19:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,bonus,en,Cash pickup,0
f0951f80-fce4-49a3-8547-1b26d81fb6b4,synth_2f9545d35078,remittance,tabddpm_synthetic,,['en'],emergency,2024-04-23T00:32:00+00:00,10000.0,5000.0,25,0,6,Sunday,69,1,0,emergency,en,Hawala,0
fd1b6e7f-a704-47da-89a6-a8e82d293eba,synth_031170037909,remittance,tabddpm_synthetic,,['en'],estafa,2024-02-17T00:55:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,0,estafa,en,Xoom,0
f89d1426-8f85-4bb7-a51c-d98d27d28f9d,synth_ddebb04d75f1,remittance,tabddpm_synthetic,,['en'],fake family,2024-02-09T18:15:00+00:00,8325.89,312.66,45,18,5,Saturday,6,1,8,fake family,en,Remitly,0
