data_uuid,id,archetype,source,narrative_text,detected_language_hints,fraud_vector_hint,record_timestamp,transaction_amount_usd,fee_amount_usd,sender_age,hour_of_day,day_of_week,day_of_week_name,days_since_last_txn,account_age_days,txn_count_30d,fraud_vector,language,instrument,is_fraud
634c2355-b8f2-4db0-9a73-1dc0bd3978d1,synth_cccd49fdafd6,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-05-04T00:05:00+00:00,3000.0,1500.0,20,0,6,Sunday,0,1,100,advance fee,en,Bill pay kiosk,0
3c1ded7e-16c1-4d94-8fe5-218351c8231f,synth_46ee5a64947e,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-11-24T12:56:00+00:00,10.0,0.0,20,12,0,Monday,90,1,39,advance fee,en,Bill pay kiosk,0
a6b1e095-b339-472e-8681-72c9b0e63404,synth_b58151ad31d0,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-05-29T23:10:00+00:00,3000.0,1500.0,20,23,6,Sunday,0,1,100,advance fee,en,Bill pay kiosk,0
a29520c6-beca-446a-b4f6-84f8a613ec81,synth_505ad34e59e7,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-11-01T12:50:00+00:00,290.74,35.98,37,12,0,Monday,0,1143,9,advance fee,en,Bill pay kiosk,0
5a5c352e-1f1d-411c-8c82-ff9be456fb28,synth_6540f1bd3b97,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-07-31T23:07:00+00:00,3000.0,1500.0,20,23,0,Monday,90,1,100,advance fee,en,Bill pay kiosk,0
3c768fd5-7789-41ef-a185-88149ed8739a,synth_d8fbfb561f9c,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-09-14T23:17:00+00:00,3000.0,1500.0,20,23,0,Monday,90,1,100,advance fee,en,Bill pay kiosk,0
c7a3e70e-e40f-45e0-ad6a-f20b78210913,synth_9c7b7b4d088e,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-09-17T23:02:00+00:00,3000.0,1500.0,20,23,6,Sunday,0,1,100,advance fee,en,Bill pay kiosk,0
356b4f87-8add-40dc-9300-50a583d4c209,synth_1a459243cc3f,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-05-30T17:37:00+00:00,315.87,17.83,34,17,0,Monday,1,1141,7,advance fee,en,Bill pay kiosk,0
60863c25-c491-43ce-bf7b-7dc4713cae06,synth_10b149d8f27d,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-07-16T11:19:00+00:00,126.25,23.54,20,11,0,Monday,11,773,6,advance fee,en,Bill pay kiosk,0
90b48b2b-6be5-43d1-9cf6-e07a5996556c,synth_23db49055e4b,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-02-29T02:01:00+00:00,345.29,44.72,20,2,0,Monday,60,1279,9,advance fee,en,Bill pay kiosk,0
981c28d0-daf0-4dd6-a041-afeb05294643,synth_5c09d2161731,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-01-29T00:13:00+00:00,3000.0,1500.0,60,0,0,Monday,13,1,100,advance fee,en,Bill pay kiosk,1
a88057ff-031f-44a0-a6bf-c0a13726b724,synth_bb6386dab968,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-03-21T23:09:00+00:00,3000.0,1500.0,20,23,0,Monday,26,1,100,advance fee,en,Bill pay kiosk,0
5bf3b11f-db78-4e94-9259-e72c1afb6b82,synth_789c9ae4a22c,unbanked,tabddpm_synthetic,,['en'],advance fee,2024-03-10T23:01:00+00:00,3000.0,1500.0,60,23,0,Monday,47,1,100,advance fee,en,Bill pay kiosk,0
