data_uuid,id,archetype,source,narrative_text,detected_language_hints,fraud_vector_hint,record_timestamp,transaction_amount_usd,fee_amount_usd,sender_age,hour_of_day,day_of_week,day_of_week_name,days_since_last_txn,account_age_days,txn_count_30d,fraud_vector,language,instrument,is_fraud
4582cbd0-594c-4d8a-8214-8aa56b5c181e,synth_b39360fa0ac5,itin,tabddpm_synthetic,,['en'],EIN,2024-08-09T23:43:00+00:00,82149.71,6993.52,22,23,6,Sunday,62,2000,100,EIN,en,Bank account opening,0
f95ba73b-e168-4cde-954b-2951e3f6d9d1,synth_d444d9bb23d5,itin,tabddpm_synthetic,,['en'],EIN,2024-05-08T00:02:00+00:00,100000.0,50000.0,22,0,6,Sunday,0,1,100,EIN,en,Bank account opening,0
38ed11e1-1aaa-4a0d-bef3-6dc15bea7822,synth_75068ea6b11f,itin,tabddpm_synthetic,,['en'],EIN,2024-10-31T03:15:00+00:00,5198.33,0.0,55,3,6,Sunday,0,2000,6,EIN,en,Bank account opening,0
8f16057a-91ea-4370-a7c4-c236fe22ab86,synth_18ef036e055e,itin,tabddpm_synthetic,,['en'],EIN,2024-09-24T23:37:00+00:00,100000.0,50000.0,22,23,6,Sunday,0,1,100,EIN,en,Bank account opening,1
7a3a3ffd-1052-4b63-be6c-76d8ca77cc7b,synth_1f6d29458f14,itin,tabddpm_synthetic,,['en'],EIN,2024-06-23T23:32:00+00:00,100000.0,50000.0,22,23,6,Sunday,0,1,100,EIN,en,Bank account opening,1
bdbba365-27bc-4c54-9773-66eaf0438e3d,synth_871b4f8e17fb,itin,tabddpm_synthetic,,['en'],EIN,2024-04-19T23:24:00+00:00,100000.0,50000.0,22,23,6,Sunday,0,1,100,EIN,en,Bank account opening,0
9f727b03-f0cb-4443-8e92-4ec43d0e2a03,synth_bbf2c66e6bbb,itin,tabddpm_synthetic,,['en'],EIN,2024-04-15T07:25:00+00:00,100.0,0.0,22,7,6,Sunday,36,2000,9,EIN,en,Bank account opening,0
20deb0f7-0c8b-46ea-a602-71cd5b1daac1,synth_99348904d9bc,itin,tabddpm_synthetic,,['es'],EIN,2024-03-20T00:10:00+00:00,100.0,0.0,37,0,6,Sunday,0,1,15,EIN,es,Bank account opening,0
69549a4b-c196-4769-943a-1710248033e9,synth_41826897f7a9,itin,tabddpm_synthetic,,['en'],EIN,2024-10-19T09:16:00+00:00,100.0,190.01,55,9,6,Sunday,90,2000,5,EIN,en,Bank account opening,0
a3b4c401-2232-4cc4-ac0e-43cd9896cc51,synth_d09ff9212e98,itin,tabddpm_synthetic,,['en'],EIN,2024-12-11T23:38:00+00:00,100.0,3857.94,55,23,0,Monday,90,2000,0,EIN,en,Bank account opening,0
99a17cf0-ed06-4025-8ca6-9e63e6ff1c82,synth_d1d5a6befacd,itin,tabddpm_synthetic,,['es'],EIN,2024-10-19T08:12:00+00:00,100.0,278.15,55,8,3,Thursday,59,2000,14,EIN,es,Bank account opening,0
186b7d7d-09cb-4389-930b-cd253a91b144,synth_1ce188007745,itin,tabddpm_synthetic,,['en'],EIN,2024-02-21T04:20:00+00:00,100.0,77.96,22,4,6,Sunday,71,2000,17,EIN,en,Bank account opening,0
d0a8743b-9c0b-4dee-bde6-4f06f3fb3ea5,synth_91ef49d0fde8,itin,tabddpm_synthetic,,['en'],EIN,2024-06-26T23:16:00+00:00,49644.32,0.0,22,23,0,Monday,0,1,100,EIN,en,Bank account opening,0
1b1d7ac2-971e-4b27-aa68-fbfd4c187c22,synth_fbf507607b48,itin,tabddpm_synthetic,,['en'],EIN,2024-05-24T00:09:00+00:00,100.0,0.0,27,0,6,Sunday,0,327,1,EIN,en,Bank account opening,0
e0fbdf66-0f98-4185-aac1-0bb323f47db0,synth_ba6529cbe358,itin,tabddpm_synthetic,,['en'],EIN,2024-07-06T19:46:00+00:00,1022.85,96.91,22,19,5,Saturday,4,2000,3,EIN,en,Bank account opening,0
21c312cc-b45d-4dc7-b0de-17e33dcaa55f,synth_d82e3bb16a93,itin,tabddpm_synthetic,,['en'],EIN,2024-01-20T08:54:00+00:00,100.0,0.0,22,8,6,Sunday,20,2000,5,EIN,en,Bank account opening,0
af6084b6-b5f7-4a7d-b862-89dcd1cd0f4a,synth_ca966d9ff7aa,itin,tabddpm_synthetic,,['en'],EIN,2024-03-10T23:32:00+00:00,100.0,11063.48,55,23,0,Monday,90,2000,0,EIN,en,Bank account opening,0
1e7c19ff-f64d-44e9-8cac-86ef20510e36,synth_8993214583de,itin,tabddpm_synthetic,,['en'],EIN,2024-02-26T00:31:00+00:00,100.0,374.12,55,0,6,Sunday,0,1,19,EIN,en,Bank account opening,0
2ba13177-606c-4bda-aa4c-723ededc9a9b,synth_d8e6927dfc0b,itin,tabddpm_synthetic,,['en'],EIN,2024-07-12T02:04:00+00:00,2693.16,41.38,28,2,3,Thursday,6,1417,5,EIN,en,Credit application,0
45f5fdcd-d54d-4966-8a0f-1117d22c529d,synth_9fb27364df95,itin,tabddpm_synthetic,,['en'],EIN,2024-08-24T13:06:00+00:00,100.0,90.68,22,13,6,Sunday,90,2000,7,EIN,en,Bank account opening,0
7c0a7664-7c5a-41e9-b6c8-597e1952da16,synth_00b887f8f284,itin,tabddpm_synthetic,,['en'],EIN,2024-08-11T23:58:00+00:00,100.0,16638.46,55,23,0,Monday,90,2000,0,EIN,en,Bank account opening,0
7bc64cb1-aac9-4d6f-8f72-5d2a3bf872a7,synth_cf593a43c60c,itin,tabddpm_synthetic,,['en'],EIN,2024-04-13T00:45:00+00:00,100000.0,50000.0,22,0,0,Monday,0,1,100,EIN,en,Bank account opening,0
85a72f02-d5bd-4a9d-af2f-f0a4ac94cb17,synth_f0ac825eb3b5,itin,tabddpm_synthetic,,['en'],EIN,2024-04-28T23:37:00+00:00,100.0,0.0,22,23,6,Sunday,26,2000,2,EIN,en,Bank account opening,0
8c6f717c-3f59-4e76-927b-fab6c52f5c50,synth_a044c7eb0a8a,itin,tabddpm_synthetic,,['en'],EIN,2024-10-06T00:26:00+00:00,4889.3,0.0,22,0,0,Monday,0,1,25,EIN,en,Bank account opening,0
