data_uuid,id,archetype,source,narrative_text,detected_language_hints,fraud_vector_hint,record_timestamp,transaction_amount_usd,fee_amount_usd,sender_age,hour_of_day,day_of_week,day_of_week_name,days_since_last_txn,account_age_days,txn_count_30d,fraud_vector,language,instrument,is_fraud
f8495f58-fd3c-46b5-bc9e-b19f82fed651,synth_65337fb56910,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-11-13T23:54:00+00:00,714.76,14.05,65,23,5,Saturday,0,2000,18,MoneyGram,en,Cash pickup,0
c5b32c45-6343-4f7e-a94c-6081c3f3c841,synth_b4f8d495eb48,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-10-06T22:15:00+00:00,396.61,32.12,58,22,4,Friday,2,2000,7,MoneyGram,en,Cash pickup,0
714f6b18-73b7-40ed-887f-09ab9de1ec2c,synth_d37b04ac9f75,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-10-19T17:08:00+00:00,758.13,30.29,30,17,2,Wednesday,0,686,0,MoneyGram,en,Cash pickup,0
b3f2b596-33d7-4232-80c0-0c10bd0a02e6,synth_87b08a5e11c1,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-04-10T00:36:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,100,MoneyGram,en,Cash pickup,0
8b1037f9-352a-4b6c-9704-930022e7f46a,synth_b2ef89b3119d,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-06-07T21:56:00+00:00,965.11,43.61,62,21,4,Friday,7,621,6,MoneyGram,en,Cash pickup,0
355f6251-bef5-4d44-9e2e-b2a111f9b0b7,synth_9ff054eef262,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-07-13T18:02:00+00:00,1821.88,65.42,34,18,1,Tuesday,3,2000,11,MoneyGram,en,Cash pickup,0
ec12e21f-cdb5-47e3-a52d-ae830eec193c,synth_1369d9accc3f,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-12-28T07:22:00+00:00,50.0,0.0,25,7,6,Sunday,90,2000,0,MoneyGram,en,Cash pickup,0
747ef426-8d24-419a-b013-bd68bc5bea83,synth_006e91d9e22b,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-07-24T13:47:00+00:00,50.0,0.0,45,13,6,Sunday,90,2000,8,MoneyGram,en,Cash pickup,0
91becb59-3717-4803-85e4-6c34bcbb7e02,synth_86c24cf9ade1,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-07-02T16:48:00+00:00,50.0,0.0,48,16,6,Sunday,90,1433,4,MoneyGram,en,Cash pickup,0
b1b210c9-ed7d-4a25-852d-cac6bc12bab2,synth_67ca7d1018cf,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-08-12T23:10:00+00:00,10000.0,891.91,65,23,0,Monday,4,1,5,MoneyGram,en,Cash pickup,0
a38567f6-fe75-4e18-b860-c5c00c7ca644,synth_1bbc643d3241,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-08-12T00:31:00+00:00,10000.0,5000.0,65,0,6,Sunday,90,1,100,MoneyGram,en,Cash pickup,0
082664fb-1f1f-41f9-b510-9b10f71e4ea9,synth_760d6bb6ad08,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-05-31T23:03:00+00:00,6013.21,349.8,65,23,0,Monday,8,297,6,MoneyGram,en,Cash pickup,0
f9d6d1e8-c97f-45ce-9659-e9d2567f40f3,synth_828cfc6c9582,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-05-04T00:48:00+00:00,10000.0,5000.0,25,0,6,Sunday,0,1,100,MoneyGram,en,Cash pickup,1
50fd50e4-b8d0-4263-9456-b8f05468c0bc,synth_69d688c9dc0a,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-04-09T23:31:00+00:00,669.11,35.05,65,23,6,Sunday,0,2000,43,MoneyGram,en,Cash pickup,0
59d5f076-f97f-4ea6-8e16-97d82e83a039,synth_50ec8d6a9755,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-05-21T00:36:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,100,MoneyGram,en,Cash pickup,0
b32f7e7f-bac7-4d1d-97b4-0bbbf3fdc1ce,synth_c85cfb4a4e76,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-12-08T23:49:00+00:00,10000.0,5000.0,25,23,6,Sunday,90,1,100,MoneyGram,en,Cash pickup,0
8b050291-981e-4933-b1a3-9baec5f9511c,synth_7e4b3a44802d,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-11-02T07:14:00+00:00,10000.0,5000.0,65,7,6,Sunday,90,1,100,MoneyGram,en,Cash pickup,0
a8547124-d114-4d80-a747-bbf6d0dcaee9,synth_b6ce9052b9c5,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-01-19T00:09:00+00:00,2494.61,0.0,36,0,6,Sunday,0,1,100,MoneyGram,en,Cash pickup,1
3c186186-ba48-4cce-861b-38a6cab3e91b,synth_254feed4837e,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-12-08T23:19:00+00:00,10000.0,5000.0,25,23,6,Sunday,90,1,100,MoneyGram,en,Cash pickup,0
23b5b601-db1c-4d92-b927-2add40a0f72b,synth_0d6e781b86fb,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-07-01T23:39:00+00:00,347.53,0.0,51,23,3,Thursday,0,2000,5,MoneyGram,en,Cash pickup,0
69331fe0-f33c-4ec8-bde4-83c44b07ebab,synth_b0c56a7bd3df,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-05-13T23:56:00+00:00,2783.01,145.48,65,23,0,Monday,0,1,0,MoneyGram,en,Cash pickup,0
0da7895f-98dc-4191-97ad-82e385c8b854,synth_90bd6673d7cc,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-03-17T23:30:00+00:00,10000.0,5000.0,65,23,6,Sunday,90,1,100,MoneyGram,en,Cash pickup,0
932fd1f0-e6fb-432f-8124-59951b530bd2,synth_bf69e7a489cc,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-02-16T13:05:00+00:00,1439.85,57.18,25,13,5,Saturday,0,553,7,MoneyGram,en,Cash pickup,0
41ecfeec-e35f-43f2-9bc0-8343e25c08ca,synth_3a3300ca70fb,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-05-27T23:43:00+00:00,10000.0,5000.0,25,23,6,Sunday,90,1,100,MoneyGram,en,Cash pickup,0
1a4d6ab4-9315-4d68-be8c-9a763f0cf93f,synth_3f060abbf32b,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-12-29T00:56:00+00:00,10000.0,5000.0,25,0,6,Sunday,90,1,100,MoneyGram,en,Cash pickup,0
7a441408-4128-43a0-90d0-c4f383414263,synth_1d4644876428,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-10-15T00:42:00+00:00,50.0,0.0,65,0,4,Friday,6,818,24,MoneyGram,en,Cash pickup,0
8279c45d-7277-4356-90d2-63e912ffe916,synth_5c4b7a8ebf3a,remittance,tabddpm_synthetic,,['en'],MoneyGram,2024-08-18T13:21:00+00:00,133.3,24.54,34,13,5,Saturday,0,1609,9,MoneyGram,en,Cash pickup,0
