data_uuid,fraud_vector,language,instrument,is_fraud,prompt,enhanced_prompt
93b483f7-6e60-4f05-b903-29552c462d2a,ITIN,en,Credit application,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: itin. Fraud vector: ITIN. Financial instrument: Credit application. Transaction amount: $1918.18. Sender age: 44. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 44-year-old Individual Taxpayer Identification Number (ITIN) holder involved in a credit application transaction for $1,918.18. Set the story within the context of identity theft, tax fraud, or synthetic identity scams targeting ITIN users. Clearly describe the sequence of events, explain the specific mechanics of the fraud or the legitimate process, detail the financial impact, and express the narrator's emotional response. Use natural, conversational English."
0ffbafb7-10ef-4c89-9bf3-d2bf4eb528dc,EIN,en,Credit application,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: itin. Fraud vector: EIN. Financial instrument: Credit application. Transaction amount: $4958.96. Sender age: 32. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 32-year-old Individual Taxpayer Identification Number (ITIN) holder involved in a financial transaction. 

**Scenario Context:**
- **Fraud Vector:** The scammer misused an Employer Identification Number (EIN) to submit a fraudulent credit application.
- **Transaction Amount:** $4,958.96.
- **Community Context:** Highlight issues of identity theft, tax fraud, and synthetic identity creation targeting ITIN holders.

**Required Content:**
1. Describe the sequence of events (how the scam occurred).
2. Explain the mechanism of the fraud.
3. Detail the financial impact.
4. Express the victim's emotional response.

**Constraints:**
- Use natural, authentic English.
- Maintain a serious and personal tone appropriate for a victim statement."
6fe8854c-c356-4959-b5a5-870f786069ea,unknown,en,Bank account opening,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: itin. Fraud vector: unknown. Financial instrument: Bank account opening. Transaction amount: $1779.92. Sender age: 37. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3-5 sentences) from the perspective of a 37-year-old Individual Taxpayer Identification Number (ITIN) holder regarding a bank account opening transaction of $1,779.92. Set the story within the context of identity theft, tax fraud, or synthetic identity scams targeting ITIN recipients. Since the specific fraud vector is unknown, describe the suspicious events, the mechanism of the potential scam, the financial impact, and your emotional response using natural English. Ensure the tone reflects the vulnerability and confusion of a victim navigating these complex financial threats."
433d1e1d-b7df-4d95-ac0d-113da827f049,synthetic identity,en,Fake immigration consultancy,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: itin. Fraud vector: synthetic identity. Financial instrument: Fake immigration consultancy. Transaction amount: $4312.18. Sender age: 52. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3-5 sentences) from the perspective of a 52-year-old Individual Taxpayer Identification Number (ITIN) holder who fell victim to a synthetic identity fraud scam involving a fake immigration consultancy. The story must detail: (1) the deceptive transaction of $4,312.18, (2) the mechanics of how the synthetic identity fraud was executed, (3) the specific financial impact, and (4) the victim's emotional response. Contextualize the narrative within the broader issues of identity theft and tax fraud targeting ITIN holders. Use natural, empathetic English."
c7d81fe1-e8b1-4c9f-8805-0d8ff955b3a7,ITIN,en,ITIN tax filing,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: itin. Fraud vector: ITIN. Financial instrument: ITIN tax filing. Transaction amount: $100000.00. Sender age: 36. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3-5 sentences) from the perspective of a 36-year-old Individual Taxpayer Identification Number (ITIN) holder involved in a $100,000 transaction. Context: The scenario involves identity theft, tax fraud, or synthetic identity schemes targeting ITIN users during tax filing. Content Requirements:
1. Describe the specific event and how the fraud vector (misuse of the ITIN) operated.
2. Detail the financial impact of the $100,000 loss or compromise.
3. Express the narrator's emotional response to the incident.
Tone: Natural, authentic English suitable for a victim statement."
6b17c89e-e16c-45b6-9360-7c2d3aef4764,ITIN,en,Bank account opening,1,"Write a first-person narrative from a victim or participant in a fraudulent financial transaction. Archetype: itin. Fraud vector: ITIN. Financial instrument: Bank account opening. Transaction amount: $2249.39. Sender age: 44. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a 3-5 sentence first-person narrative from the perspective of a 44-year-old victim of identity theft involving an Individual Taxpayer Identification Number (ITIN). The story must describe a fraudulent bank account opening where $2,249.39 was stolen. Explicitly cover: (1) how the synthetic identity scam unfolded, (2) the specific financial loss, and (3) your emotional reaction. Use natural, empathetic English that reflects the vulnerability of ITIN holders targeted by tax fraud."
2903cef5-05e4-44aa-bc3e-0a48b9a1f43f,EIN,en,Mortgage application,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: itin. Fraud vector: EIN. Financial instrument: Mortgage application. Transaction amount: $5516.40. Sender age: 48. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3-5 sentences) from the perspective of a 48-year-old Individual Taxpayer Identification Number (ITIN) holder involved in a mortgage application scam. The fraud involves the criminal misuse of an Employer Identification Number (EIN) to create a synthetic identity, resulting in a fraudulent transaction of $5,516.40. Your story must clearly describe: 1) the mechanics of how the scam exploited the ITIN/EIN discrepancy, 2) the specific financial impact on the victim, and 3) the victim's emotional response. Ensure the tone reflects the reality of identity theft and tax fraud targeting immigrant communities, using natural, grammatically correct English."
1fc4ddac-45e5-4ece-aa6f-8d93f9756812,tax return,en,ITIN tax filing,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: itin. Fraud vector: tax return. Financial instrument: ITIN tax filing. Transaction amount: $6254.96. Sender age: 34. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3-5 sentences) from the perspective of a 34-year-old ITIN (Individual Taxpayer Identification Number) holder who was a victim of tax return fraud. The story must detail a fraudulent transaction involving a $6,254.96 tax refund, explaining how synthetic identity theft was used to file a fake return, the resulting financial loss, and the victim's emotional distress. Use natural, empathetic English that reflects the context of identity theft targeting immigrant communities."
25795585-fb30-465a-8f4b-6d44a60e1a9f,identity theft,en,EIN business registration,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: itin. Fraud vector: identity theft. Financial instrument: EIN business registration. Transaction amount: $4705.14. Sender age: 52. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3-5 sentences) from the perspective of a 52-year-old Individual Taxpayer Identification Number (ITIN) holder who was a victim of identity theft. The scam involved the fraudulent use of their identity to register a business and obtain an Employer Identification Number (EIN), resulting in a financial loss of $4,705.14. Your story must clearly describe: (1) how the scam unfolded, (2) the specific financial impact, and (3) your emotional response. Use natural, empathetic English that reflects the reality of tax fraud targeting immigrant communities."
2dc422c9-c30f-48a5-8bb3-d2a3e8220e85,ITIN,en,Credit application,0,"Write a first-person narrative from a victim or participant in a legitimate financial transaction. Archetype: itin. Fraud vector: ITIN. Financial instrument: Credit application. Transaction amount: $2926.55. Sender age: 22. Language: en. Community context: Identity theft, tax fraud, and synthetic identity targeting ITIN holders. Write 3-5 sentences describing what happened, how the scam worked (or how the legitimate transaction proceeded), the financial impact, and the person's emotional response. Use natural language appropriate for the specified language code.","Write a first-person narrative (3-5 sentences) from the perspective of a 22-year-old Individual Taxpayer Identification Number (ITIN) holder involved in a credit application transaction for $2,926.55. Set the story within the context of identity theft, tax fraud, or synthetic identity schemes targeting ITIN users. Clearly describe: (1) the specific events of the scam or legitimate transaction, (2) the mechanism of the fraud or approval process, (3) the resulting financial impact, and (4) your emotional response. Use natural, conversational English."
